index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
0,MMSE,0,100.0,1,-0.097956315
1,MMSE,0,100.0,2,-0.16253656
2,MMSE,0,100.0,3,-0.33956644
3,MMSE,0,100.0,4,-0.46831286
4,MMSE,0,100.0,5,-0.59698534
5,MMSE,0,100.0,6,-0.8907666
6,MMSE,0,100.0,7,-1.3630075
7,MMSE,0,100.0,8,-21.136461
8,MMSE,0,100.0,9,-21.237774
9,MMSE,0,100.0,10,-21.289991
10,MMSE,0,100.0,11,-21.417583
11,MMSE,0,100.0,12,-21.519522
12,MMSE,0,100.0,13,-21.557638
13,MMSE,0,100.0,14,-21.654922
14,MMSE,0,100.0,15,-21.743565
15,MMSE,0,100.0,16,-21.836912
0,Conf. Ellips.,0,100.0,1,-0.097956315
1,Conf. Ellips.,0,100.0,2,-0.16253656
2,Conf. Ellips.,0,100.0,3,-0.33956644
3,Conf. Ellips.,0,100.0,4,-0.46831286
4,Conf. Ellips.,0,100.0,5,-0.59698534
5,Conf. Ellips.,0,100.0,6,-0.8907666
6,Conf. Ellips.,0,100.0,7,-1.3630075
7,Conf. Ellips.,0,100.0,8,-21.150484
8,Conf. Ellips.,0,100.0,9,-21.244736
9,Conf. Ellips.,0,100.0,10,-21.231754
10,Conf. Ellips.,0,100.0,11,-21.299961
11,Conf. Ellips.,0,100.0,12,-21.385443
12,Conf. Ellips.,0,100.0,13,-21.460945
13,Conf. Ellips.,0,100.0,14,-21.549545
14,Conf. Ellips.,0,100.0,15,-21.690487
15,Conf. Ellips.,0,100.0,16,-21.826883
0,WMSE,0,100.0,1,-0.097956315
1,WMSE,0,100.0,2,-0.16253656
2,WMSE,0,100.0,3,-0.33956644
3,WMSE,0,100.0,4,-0.46831286
4,WMSE,0,100.0,5,-0.59698534
5,WMSE,0,100.0,6,-0.9003649
6,WMSE,0,100.0,7,-1.3630075
7,WMSE,0,100.0,8,-21.199581
8,WMSE,0,100.0,9,-21.195625
9,WMSE,0,100.0,10,-21.2252
10,WMSE,0,100.0,11,-21.284098
11,WMSE,0,100.0,12,-21.417723
12,WMSE,0,100.0,13,-21.459394
13,WMSE,0,100.0,14,-21.570429
14,WMSE,0,100.0,15,-21.616781
15,WMSE,0,100.0,16,-21.681334
0,W. Random,0,100.0,1,-0.05884878
1,W. Random,0,100.0,2,-0.4248815
2,W. Random,0,100.0,3,-0.6239142
3,W. Random,0,100.0,4,-1.0141319
4,W. Random,0,100.0,5,-1.2952554
5,W. Random,0,100.0,6,-2.562176
6,W. Random,0,100.0,7,-2.640338
7,W. Random,0,100.0,8,1.5926551
8,W. Random,0,100.0,9,1.367391
9,W. Random,0,100.0,10,-11.740627
10,W. Random,0,100.0,11,-11.615574
11,W. Random,0,100.0,12,-20.768854
12,W. Random,0,100.0,13,-21.154545
13,W. Random,0,100.0,14,-21.182352
14,W. Random,0,100.0,15,-21.22708
15,W. Random,0,100.0,16,-21.373869
