index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
43,Conf. Ellips.,0,20.0,44,-1.7625918
44,Conf. Ellips.,0,20.0,45,-1.7900395
45,Conf. Ellips.,0,20.0,46,-1.779128
46,Conf. Ellips.,0,20.0,47,-1.8183995
47,Conf. Ellips.,0,20.0,48,-1.8462191
48,Conf. Ellips.,0,20.0,49,-1.8747773
49,Conf. Ellips.,0,20.0,50,-1.9406787
50,Conf. Ellips.,0,20.0,51,-1.9463135
51,Conf. Ellips.,0,20.0,52,-1.952544
52,Conf. Ellips.,0,20.0,53,-2.0186021
53,Conf. Ellips.,0,20.0,54,-2.0234787
54,Conf. Ellips.,0,20.0,55,-2.0590475
55,Conf. Ellips.,0,20.0,56,-2.0542045
56,Conf. Ellips.,0,20.0,57,-2.1460474
57,Conf. Ellips.,0,20.0,58,-2.17553
58,Conf. Ellips.,0,20.0,59,-2.1255193
59,Conf. Ellips.,0,20.0,60,-2.2024696
60,Conf. Ellips.,0,20.0,61,-2.1951299
61,Conf. Ellips.,0,20.0,62,-2.2270825
62,Conf. Ellips.,0,20.0,63,-2.239396
63,Conf. Ellips.,0,20.0,64,-2.2450755
64,Conf. Ellips.,0,20.0,65,-2.2555337
65,Conf. Ellips.,0,20.0,66,-2.2861767
66,Conf. Ellips.,0,20.0,67,-2.2866576
67,Conf. Ellips.,0,20.0,68,-2.300886
68,Conf. Ellips.,0,20.0,69,-2.3238719
69,Conf. Ellips.,0,20.0,70,-2.355662
70,Conf. Ellips.,0,20.0,71,-2.366823
71,Conf. Ellips.,0,20.0,72,-2.3618124
0,WMSE,0,20.0,1,-0.0020681533
1,WMSE,0,20.0,2,-0.0021935902
2,WMSE,0,20.0,3,-0.0040870267
3,WMSE,0,20.0,4,-0.005326544
4,WMSE,0,20.0,5,-0.0077494066
5,WMSE,0,20.0,6,-0.011475953
6,WMSE,0,20.0,7,-0.012770792
7,WMSE,0,20.0,8,-0.013914444
8,WMSE,0,20.0,9,-0.01411869
9,WMSE,0,20.0,10,-0.017074693
10,WMSE,0,20.0,11,-0.022211129
11,WMSE,0,20.0,12,-0.025499243
12,WMSE,0,20.0,13,-0.032610636
13,WMSE,0,20.0,14,-0.039841752
14,WMSE,0,20.0,15,-0.04620512
15,WMSE,0,20.0,16,-0.057907343
16,WMSE,0,20.0,17,-0.05601622
17,WMSE,0,20.0,18,-0.06572693
18,WMSE,0,20.0,19,-0.07883039
19,WMSE,0,20.0,20,-0.090921625
20,WMSE,0,20.0,21,-0.09081314
21,WMSE,0,20.0,22,-0.1126783
22,WMSE,0,20.0,23,-0.13681352
23,WMSE,0,20.0,24,-0.1507788
24,WMSE,0,20.0,25,-0.16868593
25,WMSE,0,20.0,26,-0.23774225
26,WMSE,0,20.0,27,-0.24895044
27,WMSE,0,20.0,28,-0.40223536
28,WMSE,0,20.0,29,-0.501451
29,WMSE,0,20.0,30,-0.474806
30,WMSE,0,20.0,31,-0.49278963
31,WMSE,0,20.0,32,-0.67678016
32,WMSE,0,20.0,33,-0.6640182
33,WMSE,0,20.0,34,-0.6326453
34,WMSE,0,20.0,35,-1.401597
35,WMSE,0,20.0,36,-1.227717
36,WMSE,0,20.0,37,-1.4227183
37,WMSE,0,20.0,38,-1.470476
38,WMSE,0,20.0,39,-1.5189722
39,WMSE,0,20.0,40,-1.5427008
40,WMSE,0,20.0,41,-1.580587
41,WMSE,0,20.0,42,-1.5695758
42,WMSE,0,20.0,43,-1.6475536
43,WMSE,0,20.0,44,-1.6912701
44,WMSE,0,20.0,45,-1.6866558
45,WMSE,0,20.0,46,-1.7127026
46,WMSE,0,20.0,47,-1.7358222
47,WMSE,0,20.0,48,-1.815035
48,WMSE,0,20.0,49,-1.7933576
49,WMSE,0,20.0,50,-1.8144706
50,WMSE,0,20.0,51,-1.8242228
51,WMSE,0,20.0,52,-1.8168163
52,WMSE,0,20.0,53,-1.8390466
53,WMSE,0,20.0,54,-1.8556263
54,WMSE,0,20.0,55,-1.8792793
55,WMSE,0,20.0,56,-1.8717195
56,WMSE,0,20.0,57,-1.8622993
57,WMSE,0,20.0,58,-1.8961322
58,WMSE,0,20.0,59,-1.9220295
59,WMSE,0,20.0,60,-1.9164462
60,WMSE,0,20.0,61,-1.9404941
61,WMSE,0,20.0,62,-1.9561691
62,WMSE,0,20.0,63,-1.9933497
63,WMSE,0,20.0,64,-2.0256345
64,WMSE,0,20.0,65,-2.0315015
65,WMSE,0,20.0,66,-2.0144913
66,WMSE,0,20.0,67,-2.045521
67,WMSE,0,20.0,68,-2.0898924
68,WMSE,0,20.0,69,-2.1205611
69,WMSE,0,20.0,70,-2.1289136
70,WMSE,0,20.0,71,-2.1359203
71,WMSE,0,20.0,72,-2.1886501
0,W. Random,0,20.0,1,-0.0044085262
1,W. Random,0,20.0,2,-0.046849787
2,W. Random,0,20.0,3,-0.05031808
3,W. Random,0,20.0,4,-0.077622265
4,W. Random,0,20.0,5,-0.11566873
5,W. Random,0,20.0,6,-0.17693812
6,W. Random,0,20.0,7,-0.23621322
7,W. Random,0,20.0,8,-0.18887737
8,W. Random,0,20.0,9,-0.2157778
9,W. Random,0,20.0,10,-0.21866846
10,W. Random,0,20.0,11,-0.23415758
11,W. Random,0,20.0,12,-0.23054887
12,W. Random,0,20.0,13,-0.23135485
13,W. Random,0,20.0,14,-0.20894828
14,W. Random,0,20.0,15,-0.20564166
15,W. Random,0,20.0,16,-0.27153572
16,W. Random,0,20.0,17,0.14271756
17,W. Random,0,20.0,18,0.24362014
18,W. Random,0,20.0,19,0.28847277
19,W. Random,0,20.0,20,0.3013864
20,W. Random,0,20.0,21,0.56130445
21,W. Random,0,20.0,22,0.64984334
22,W. Random,0,20.0,23,0.69576836
23,W. Random,0,20.0,24,0.7874359
24,W. Random,0,20.0,25,0.71972466
25,W. Random,0,20.0,26,1.0914832
26,W. Random,0,20.0,27,1.2626806
27,W. Random,0,20.0,28,1.331302
28,W. Random,0,20.0,29,1.5416248
29,W. Random,0,20.0,30,2.2103868
30,W. Random,0,20.0,31,2.836885
31,W. Random,0,20.0,32,3.1624982
32,W. Random,0,20.0,33,3.199856
33,W. Random,0,20.0,34,5.1408534
34,W. Random,0,20.0,35,6.175512
35,W. Random,0,20.0,36,9.166222
36,W. Random,0,20.0,37,7.8730745
37,W. Random,0,20.0,38,5.2216783
38,W. Random,0,20.0,39,4.0697346
39,W. Random,0,20.0,40,4.071184
40,W. Random,0,20.0,41,3.4842038
41,W. Random,0,20.0,42,3.411606
42,W. Random,0,20.0,43,3.2546082
43,W. Random,0,20.0,44,3.039874
44,W. Random,0,20.0,45,2.9804335
45,W. Random,0,20.0,46,1.9641033
46,W. Random,0,20.0,47,1.8890613
47,W. Random,0,20.0,48,1.7815615
48,W. Random,0,20.0,49,1.2003406
49,W. Random,0,20.0,50,1.1929754
50,W. Random,0,20.0,51,0.87999207
51,W. Random,0,20.0,52,0.5557867
52,W. Random,0,20.0,53,0.16550045
53,W. Random,0,20.0,54,0.18190458
54,W. Random,0,20.0,55,-0.11299215
55,W. Random,0,20.0,56,-0.46255916
56,W. Random,0,20.0,57,-0.85806906
57,W. Random,0,20.0,58,-0.8487964
58,W. Random,0,20.0,59,-0.9685286
59,W. Random,0,20.0,60,-1.5813277
60,W. Random,0,20.0,61,-1.6330893
61,W. Random,0,20.0,62,-1.642952
62,W. Random,0,20.0,63,-1.6700726
63,W. Random,0,20.0,64,-1.7020874
64,W. Random,0,20.0,65,-1.7344115
65,W. Random,0,20.0,66,-1.7352828
66,W. Random,0,20.0,67,-1.7037603
67,W. Random,0,20.0,68,-1.7716109
68,W. Random,0,20.0,69,-1.8186147
69,W. Random,0,20.0,70,-1.8780533
70,W. Random,0,20.0,71,-1.9215692
71,W. Random,0,20.0,72,-1.9087232
