index,Sampling Criterion,Graph,SNR (dB),Sample Size,log MSE
0,MMSE,0,100.0,1,-0.003243874
1,MMSE,0,100.0,2,-0.0043662004
2,MMSE,0,100.0,3,-0.006981247
3,MMSE,0,100.0,4,-0.009456021
4,MMSE,0,100.0,5,-0.012756182
5,MMSE,0,100.0,6,-0.017748713
6,MMSE,0,100.0,7,-0.019063428
7,MMSE,0,100.0,8,-0.021846084
8,MMSE,0,100.0,9,-0.024507916
9,MMSE,0,100.0,10,-0.029058468
10,MMSE,0,100.0,11,-0.03551918
11,MMSE,0,100.0,12,-0.040965013
12,MMSE,0,100.0,13,-0.04929009
13,MMSE,0,100.0,14,-0.059439655
14,MMSE,0,100.0,15,-0.06832382
15,MMSE,0,100.0,16,-0.08310862
16,MMSE,0,100.0,17,-0.08463822
17,MMSE,0,100.0,18,-0.1023292
18,MMSE,0,100.0,19,-0.118227504
19,MMSE,0,100.0,20,-0.13577285
20,MMSE,0,100.0,21,-0.14214148
21,MMSE,0,100.0,22,-0.17246218
22,MMSE,0,100.0,23,-0.21077245
23,MMSE,0,100.0,24,-0.23103555
24,MMSE,0,100.0,25,-0.25629383
25,MMSE,0,100.0,26,-0.34919667
26,MMSE,0,100.0,27,-0.36616954
27,MMSE,0,100.0,28,-0.5648151
28,MMSE,0,100.0,29,-0.7561024
29,MMSE,0,100.0,30,-1.0935969
30,MMSE,0,100.0,31,-1.107632
31,MMSE,0,100.0,32,-1.1153331
32,MMSE,0,100.0,33,-1.1160715
33,MMSE,0,100.0,34,-3.075214
34,MMSE,0,100.0,35,-4.5043344
35,MMSE,0,100.0,36,-19.709372
36,MMSE,0,100.0,37,-19.822697
37,MMSE,0,100.0,38,-19.959934
38,MMSE,0,100.0,39,-19.972124
39,MMSE,0,100.0,40,-20.07285
40,MMSE,0,100.0,41,-20.098047
41,MMSE,0,100.0,42,-20.171415
42,MMSE,0,100.0,43,-20.223232
43,MMSE,0,100.0,44,-20.248764
44,MMSE,0,100.0,45,-20.265696
45,MMSE,0,100.0,46,-20.316261
46,MMSE,0,100.0,47,-20.363464
47,MMSE,0,100.0,48,-20.341177
48,MMSE,0,100.0,49,-20.39899
