,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
22,Random,23,146.0,3487.9033,3456.0002,129.51181,19,1
23,Random,24,138.0,3334.3687,3328.0007,125.67194,19,1
24,Random,25,142.0,3184.7197,3200.0005,122.092705,19,1
25,Random,26,135.0,3056.5168,3072.0005,118.63328,19,1
26,Random,27,125.0,2931.9775,2944.0005,115.012794,19,1
27,Random,28,102.0,2822.6628,2816.0007,111.47495,19,1
28,Random,29,105.0,2713.1177,2688.0007,108.12979,19,1
29,Random,30,101.0,2598.5361,2560.0005,104.59179,19,1
30,Random,31,98.0,2465.4392,2432.0007,101.19933,19,1
31,Random,32,96.0,2339.7278,2304.001,97.35906,19,1
32,Random,33,96.0,2248.4717,2176.001,93.83937,19,1
33,Random,34,87.0,2110.161,2048.0012,89.849365,19,1
34,Random,35,88.0,2000.8071,1920.0012,85.8695,19,1
35,Random,36,86.0,1856.5933,1792.0011,81.500336,19,1
36,Random,37,85.0,1729.6029,1664.0011,77.781624,19,1
37,Random,38,82.0,1589.7948,1536.0012,74.24378,19,1
38,Random,39,78.0,1459.4485,1408.0015,70.48805,19,1
39,Random,40,58.0,1324.9968,1280.0012,66.594635,19,1
40,Random,41,48.0,1221.9918,1152.001,63.165817,19,1
41,Random,42,50.0,1092.2728,1024.0015,58.86364,19,1
42,Random,43,44.0,949.95154,896.0015,54.66934,19,1
43,Random,44,44.0,792.5121,768.0011,50.28228,19,1
44,Random,45,44.0,651.8994,640.0028,44.95224,19,1
45,Random,46,44.0,544.25745,512.00336,39.202175,19,1
46,Random,47,25.0,399.8053,384.0028,32.720108,19,1
47,Random,48,8.0,260.98074,256.00522,24.565605,19,1
48,Random,49,8.0,123.45313,128.00627,16.433475,19,1
49,Random,50,0.0,4.23806e-07,0.05181074,0.01699789,19,1
50,Random,51,0.0,2.2675036e-07,0.022555113,0.055592768,19,1
51,Random,52,0.0,1.39544e-07,-0.0014276505,0.031050881,19,1
52,Random,53,0.0,2.4684567e-07,0.0025327206,0.022902783,19,1
53,Random,54,0.0,1.7384522e-07,0.0033035278,0.08034448,19,1
54,Random,55,0.0,1.7101168e-07,0.0028398037,0.025560465,19,1
55,Random,56,0.0,2.7916363e-08,0.002162695,0.030596752,19,1
56,Random,57,0.0,2.8395043e-08,0.0020558834,0.043572914,19,1
57,Random,58,0.0,2.5519505e-08,0.00086236,0.020629728,19,1
58,Random,59,0.0,4.093826e-08,0.0011470318,0.041781623,19,1
59,Random,60,0.0,2.0852394e-08,0.0013070107,0.03549781,19,1
60,Random,61,0.0,1.847499e-08,0.0009059906,0.07313361,19,1
61,Classification-optimal,1,244.0,6382.8296,6272.0,230.42873,19,1
62,Classification-optimal,2,226.0,6237.46,6144.0,219.3732,19,1
63,Classification-optimal,3,178.0,6132.2505,6016.0005,210.36145,19,1
64,Classification-optimal,4,167.0,6002.1235,5888.0,202.85426,19,1
65,Classification-optimal,5,167.0,5876.8564,5760.0,196.27394,19,1
66,Classification-optimal,6,164.0,5746.712,5632.0,190.39421,19,1
67,Classification-optimal,7,165.0,5655.5967,5504.0005,184.93936,19,1
68,Classification-optimal,8,156.0,5529.5986,5376.0,179.73152,19,1
69,Classification-optimal,9,158.0,5409.5835,5248.0,174.78389,19,1
70,Classification-optimal,10,151.0,5289.007,5119.9995,170.06668,19,1
71,Classification-optimal,11,151.0,5144.1963,4992.0005,165.58841,19,1
72,Classification-optimal,12,163.0,5050.965,4864.003,160.3117,19,1
73,Classification-optimal,13,153.0,4913.7183,4736.003,156.17691,19,1
74,Classification-optimal,14,144.0,4797.0073,4608.003,152.05588,19,1
75,Classification-optimal,15,139.0,4666.4736,4480.003,148.07988,19,1
76,Classification-optimal,16,148.0,4562.711,4352.003,144.1812,19,1
77,Classification-optimal,17,144.0,4456.8394,4224.0034,140.36314,19,1
78,Classification-optimal,18,142.0,4332.1035,4096.0034,136.57202,19,1
79,Classification-optimal,19,147.0,4204.6694,3968.0032,132.85963,19,1
80,Classification-optimal,20,147.0,4089.9944,3840.0037,129.19154,19,1
81,Classification-optimal,21,125.0,3936.0977,3712.004,125.55268,19,1
82,Classification-optimal,22,120.0,3791.538,3584.004,121.996826,19,1
83,Classification-optimal,23,114.0,3658.4702,3456.0037,118.49437,19,1
84,Classification-optimal,24,117.0,3519.314,3328.0037,115.04566,19,1
85,Classification-optimal,25,116.0,3397.5225,3200.0037,111.605675,19,1
86,Classification-optimal,26,114.0,3256.4038,3072.0046,108.1649,19,1
87,Classification-optimal,27,111.0,3122.4707,2944.0046,104.71731,19,1
88,Classification-optimal,28,107.0,2976.243,2816.0063,101.31993,19,1
89,Classification-optimal,29,114.0,2831.559,2688.006,97.89795,19,1
90,Classification-optimal,30,102.0,2703.1484,2560.0059,94.44357,19,1
91,Classification-optimal,31,102.0,2583.3525,2432.0063,90.9661,19,1
92,Classification-optimal,32,87.0,2417.9358,2304.0066,87.51766,19,1
93,Classification-optimal,33,65.0,2303.7358,2176.0066,84.02395,19,1
94,Classification-optimal,34,60.0,2180.807,2048.0076,80.45094,19,1
95,Classification-optimal,35,63.0,2050.9695,1920.009,76.8266,19,1
96,Classification-optimal,36,63.0,1930.7211,1792.0103,73.23925,19,1
97,Classification-optimal,37,55.0,1780.113,1664.0104,69.63229,19,1
98,Classification-optimal,38,58.0,1666.8638,1536.0107,65.8873,19,1
99,Classification-optimal,39,52.0,1541.7537,1408.0118,62.051422,19,1
100,Classification-optimal,40,51.0,1422.4897,1280.0115,58.026695,19,1
101,Classification-optimal,41,47.0,1280.7634,1152.0122,54.01923,19,1
102,Classification-optimal,42,46.0,1130.4395,1024.0121,49.75869,19,1
103,Classification-optimal,43,34.0,991.75275,896.01294,45.53428,19,1
104,Classification-optimal,44,32.0,832.6876,768.01215,41.136116,19,1
