,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
77,Classification-optimal,17,123.0,4217.217,4224.0,115.028824,7,1
78,Classification-optimal,18,124.0,4076.3435,4096.0,111.43969,7,1
79,Classification-optimal,19,123.0,3974.915,3968.0,107.89775,7,1
80,Classification-optimal,20,120.0,3831.3235,3839.9998,104.33087,7,1
81,Classification-optimal,21,115.0,3679.87,3712.0,100.682106,7,1
82,Classification-optimal,22,97.0,3540.0005,3584.0,97.21522,7,1
83,Classification-optimal,23,97.0,3435.5312,3456.0,93.90695,7,1
84,Classification-optimal,24,93.0,3294.6829,3328.0,90.750854,7,1
85,Classification-optimal,25,92.0,3197.7065,3200.0,87.68361,7,1
86,Classification-optimal,26,96.0,3078.0718,3071.9998,84.291046,7,1
87,Classification-optimal,27,84.0,2946.2412,2944.0,81.34671,7,1
88,Classification-optimal,28,68.0,2818.3892,2816.0,78.34808,7,1
89,Classification-optimal,29,67.0,2696.8677,2687.9998,75.3806,7,1
90,Classification-optimal,30,68.0,2540.4844,2559.9998,72.314606,7,1
91,Classification-optimal,31,70.0,2408.1243,2432.0,69.48676,7,1
92,Classification-optimal,32,68.0,2277.7893,2304.0,66.61544,7,1
93,Classification-optimal,33,61.0,2140.488,2175.9995,63.8149,7,1
94,Classification-optimal,34,60.0,2017.3953,2047.9999,60.92804,7,1
95,Classification-optimal,35,57.0,1893.4556,1919.9996,57.974808,7,1
96,Classification-optimal,36,57.0,1754.2173,1791.9996,55.17863,7,1
97,Classification-optimal,37,58.0,1607.8173,1663.9996,52.324318,7,1
98,Classification-optimal,38,65.0,1478.7401,1535.9998,49.53367,7,1
99,Classification-optimal,39,35.0,1341.312,1407.9996,46.62746,7,1
100,Classification-optimal,40,35.0,1228.2996,1279.9996,43.744614,7,1
101,Classification-optimal,41,36.0,1087.1775,1151.9995,40.83727,7,1
102,Classification-optimal,42,26.0,967.45966,1023.9994,37.837738,7,1
103,Classification-optimal,43,26.0,849.9186,895.9991,34.613636,7,1
104,Classification-optimal,44,26.0,745.94006,767.9995,31.540558,7,1
105,Classification-optimal,45,22.0,607.6087,639.9997,28.258995,7,1
106,Classification-optimal,46,25.0,497.77423,511.9997,24.644602,7,1
107,Classification-optimal,47,15.0,369.02643,383.99963,20.707819,7,1
108,Classification-optimal,48,9.0,255.19382,255.99991,16.015356,7,1
109,Classification-optimal,49,8.0,111.99164,128.00113,9.962652,7,1
110,Classification-optimal,50,0.0,9.179412e-08,-0.00022315979,0.0,7,1
111,Classification-optimal,51,0.0,7.156824e-08,0.0002975464,0.0,7,1
112,Classification-optimal,52,0.0,5.9828004e-08,0.001045227,0.0,7,1
113,Classification-optimal,53,0.0,3.2422424e-08,0.0015468597,0.0,7,1
114,Classification-optimal,54,0.0,1.2605877e-07,3.2424927e-05,0.0,7,1
115,Classification-optimal,55,0.0,2.276002e-08,0.00090789795,0.0,7,1
116,Classification-optimal,56,0.0,1.5194455e-08,0.00030517578,0.0,7,1
117,Classification-optimal,57,0.0,1.9878923e-08,0.00027656555,0.0,7,1
118,Classification-optimal,58,0.0,2.0004236e-08,0.0005054474,0.0,7,1
119,Classification-optimal,59,0.0,1.7224266e-08,0.00044250488,0.0,7,1
120,Classification-optimal,60,0.0,1.8526412e-08,0.0002040863,0.0,7,1
121,Classification-optimal,61,0.0,2.2989726e-08,0.0004825592,0.0,7,1
122,Reconstruction-optimal,1,263.0,6251.107,6272.0,237.22276,7,1
123,Reconstruction-optimal,2,294.0,6130.915,6144.0,229.03165,7,1
124,Reconstruction-optimal,3,295.0,6025.8936,6016.0,222.36288,7,1
125,Reconstruction-optimal,4,254.0,5911.7036,5887.9995,217.22572,7,1
126,Reconstruction-optimal,5,246.0,5756.3525,5760.0,211.2856,7,1
127,Reconstruction-optimal,6,198.0,5639.0464,5632.0,206.26495,7,1
128,Reconstruction-optimal,7,179.0,5485.054,5504.0,200.95973,7,1
