,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
101,Random,2,6,17.5,165.14795,5.999999,17.14117
102,Random,2,7,19.0,160.2601,5.999999,17.14117
103,Random,2,8,19.0,159.83267,5.999999,17.14117
104,Random,2,9,16.5,178.37137,5.999999,17.14117
105,Random,2,10,14.0,203.27606,5.999999,17.14117
106,Random,2,11,19.5,191.9335,5.999999,17.14117
107,Random,2,12,17.5,168.5178,5.999999,17.14117
108,Random,2,13,16.5,172.89532,5.999999,17.14117
109,Random,2,14,21.0,156.51443,5.999999,17.14117
110,Random,2,15,21.0,168.20218,5.999999,17.14117
111,Random,2,16,17.5,115.2545,5.999999,17.14117
112,Random,2,17,16.5,149.29283,5.999999,17.14117
113,Random,2,18,19.5,181.7043,5.999999,17.14117
114,Random,2,19,13.5,139.31967,5.999999,17.14117
115,Random,2,20,18.5,161.51788,5.999999,17.14117
116,Random,2,21,19.5,146.81078,5.999999,17.14117
117,Random,2,22,22.5,130.04568,5.999999,17.14117
118,Random,2,23,17.0,138.79364,5.999999,17.14117
119,Random,2,24,15.5,155.85077,5.999999,17.14117
120,Random,2,25,19.5,130.65839,5.999999,17.14117
121,Random,2,26,15.5,104.06741,5.999999,17.14117
122,Random,2,27,18.5,215.88757,5.999999,17.14117
123,Random,2,28,18.5,209.4284,5.999999,17.14117
124,Random,2,29,19.5,192.70532,5.999999,17.14117
125,Random,2,30,17.5,124.439064,5.999999,17.14117
126,Random,2,31,9.0,170.59552,5.999999,17.14117
127,Random,2,32,12.5,186.06573,5.999999,17.14117
128,Random,2,33,18.5,281.41492,5.999999,17.14117
129,Random,2,34,22.0,137.27582,5.999999,17.14117
130,Random,2,35,19.0,115.46565,5.999999,17.14117
131,Random,2,36,19.0,109.69937,5.999999,17.14117
132,Random,2,37,20.0,154.31326,5.999999,17.14117
133,Random,2,38,18.0,151.23979,5.999999,17.14117
134,Random,2,39,17.5,143.7668,5.999999,17.14117
135,Random,2,40,15.5,125.699326,5.999999,17.14117
136,Random,2,41,15.5,137.11517,5.999999,17.14117
137,Random,2,42,17.5,128.20262,5.999999,17.14117
138,Random,2,43,19.0,115.511086,5.999999,17.14117
139,Random,2,44,17.5,111.973465,5.999999,17.14117
140,Random,2,45,16.0,120.3822,5.999999,17.14117
141,Random,2,46,24.5,89.75174,5.999999,17.14117
142,Random,2,47,24.5,90.41901,5.999999,17.14117
143,Random,2,48,22.0,139.61992,5.999999,17.14117
144,Random,2,49,18.5,84.15541,5.999999,17.14117
145,Random,2,50,20.0,70.24332,5.999999,17.14117
146,Random,2,51,17.5,68.61889,5.999999,17.14117
147,Random,2,52,19.5,110.62319,5.999999,17.14117
148,Random,2,53,19.0,251.85512,5.999999,17.14117
149,Random,2,54,18.5,111.13559,5.999999,17.14117
150,Random,2,55,14.5,79.16562,5.999999,17.14117
151,Random,2,56,18.0,104.52771,5.999999,17.14117
152,Random,2,57,15.5,122.772026,5.999999,17.14117
153,Random,2,58,13.5,100.67204,5.999999,17.14117
154,Random,2,59,18.0,111.314384,5.999999,17.14117
155,Random,2,60,19.5,127.45827,5.999999,17.14117
156,Random,2,61,20.5,135.0333,5.999999,17.14117
157,Random,2,62,20.5,143.1312,5.999999,17.14117
158,Random,2,63,18.0,89.23406,5.999999,17.14117
159,Random,2,64,18.5,123.66414,5.999999,17.14117
160,Random,2,65,16.5,85.60193,5.999999,17.14117
161,Random,2,66,19.5,93.04225,5.999999,17.14117
162,Random,2,67,15.0,61.63221,5.999999,17.14117
163,Random,2,68,28.5,77.60127,5.999999,17.14117
164,Random,2,69,14.5,88.543755,5.999999,17.14117
165,Random,2,70,20.0,162.27254,5.999999,17.14117
166,Random,2,71,27.0,43.015305,5.999999,17.14117
167,Random,2,72,9.5,52.36827,5.999999,17.14117
168,Random,2,73,16.5,40.344917,5.999999,17.14117
169,Random,2,74,16.5,171.85925,5.999999,17.14117
170,Random,2,75,18.0,78.294044,5.999999,17.14117
171,Random,2,76,19.5,143.99875,5.999999,17.14117
172,Random,2,77,19.0,108.22876,5.999999,17.14117
173,Random,2,78,20.5,97.06333,5.999999,17.14117
174,Random,2,79,11.5,91.34034,5.999999,17.14117
175,Random,2,80,17.5,93.02872,5.999999,17.14117
176,Random,2,81,18.5,216.50319,5.999999,17.14117
177,Random,2,82,17.5,278.7168,5.999999,17.14117
178,Random,2,83,18.5,321.50775,5.999999,17.14117
179,Random,2,84,19.5,255.12793,5.999999,17.14117
180,Random,2,85,21.5,203.03812,5.999999,17.14117
181,Random,2,86,19.5,175.04865,5.999999,17.14117
182,Random,2,87,19.0,165.7018,5.999999,17.14117
183,Random,2,88,17.5,183.69093,5.999999,17.14117
184,Random,2,89,17.5,291.25598,5.999999,17.14117
185,Random,2,90,19.5,97.0047,5.999999,17.14117
186,Random,2,91,20.5,84.743484,5.999999,17.14117
187,Random,2,92,19.5,63.95082,5.999999,17.14117
188,Random,2,93,14.5,59.741825,5.999999,17.14117
189,Random,2,94,18.5,83.08852,5.999999,17.14117
190,Random,3,0,20.0,145.83824,4.9999995,14.009516
191,Random,3,1,15.5,184.68286,4.9999995,14.009516
192,Random,3,2,16.0,222.13818,4.9999995,14.009516
193,Random,3,3,16.0,197.3779,4.9999995,14.009516
194,Random,3,4,15.5,177.21577,4.9999995,14.009516
195,Random,3,5,17.5,173.11841,4.9999995,14.009516
196,Random,3,6,15.5,171.91647,4.9999995,14.009516
197,Random,3,7,20.0,165.70834,4.9999995,14.009516
198,Random,3,8,19.0,164.5126,4.9999995,14.009516
199,Random,3,9,15.5,184.1839,4.9999995,14.009516
200,Random,3,10,14.0,210.14388,4.9999995,14.009516
201,Random,3,11,18.5,199.42087,4.9999995,14.009516
202,Random,3,12,18.5,175.88986,4.9999995,14.009516
203,Random,3,13,14.5,179.72362,4.9999995,14.009516
204,Random,3,14,19.0,156.84193,4.9999995,14.009516
205,Random,3,15,23.0,170.88496,4.9999995,14.009516
206,Random,3,16,18.5,119.902016,4.9999995,14.009516
207,Random,3,17,16.5,150.4352,4.9999995,14.009516
208,Random,3,18,16.5,175.52478,4.9999995,14.009516
209,Random,3,19,16.5,142.97049,4.9999995,14.009516
210,Random,3,20,15.5,153.6885,4.9999995,14.009516
211,Random,3,21,18.5,152.58817,4.9999995,14.009516
212,Random,3,22,22.5,133.38669,4.9999995,14.009516
213,Random,3,23,17.0,142.67886,4.9999995,14.009516
214,Random,3,24,18.5,159.03958,4.9999995,14.009516
215,Random,3,25,22.5,132.04047,4.9999995,14.009516
216,Random,3,26,16.5,108.3695,4.9999995,14.009516
217,Random,3,27,20.5,214.27448,4.9999995,14.009516
218,Random,3,28,15.5,202.40576,4.9999995,14.009516
219,Random,3,29,14.5,179.96684,4.9999995,14.009516
220,Random,3,30,18.5,125.76963,4.9999995,14.009516
221,Random,3,31,11.0,172.50908,4.9999995,14.009516
222,Random,3,32,14.5,192.3922,4.9999995,14.009516
223,Random,3,33,17.5,285.74432,4.9999995,14.009516
224,Random,3,34,21.0,141.09427,4.9999995,14.009516
225,Random,3,35,20.0,119.06828,4.9999995,14.009516
226,Random,3,36,18.0,113.619675,4.9999995,14.009516
227,Random,3,37,18.0,158.1008,4.9999995,14.009516
228,Random,3,38,19.0,154.37532,4.9999995,14.009516
229,Random,3,39,17.5,147.3504,4.9999995,14.009516
230,Random,3,40,16.5,125.63779,4.9999995,14.009516
231,Random,3,41,17.5,137.90471,4.9999995,14.009516
232,Random,3,42,18.5,128.0021,4.9999995,14.009516
233,Random,3,43,17.0,119.14581,4.9999995,14.009516
234,Random,3,44,17.5,116.724335,4.9999995,14.009516
235,Random,3,45,15.0,124.322876,4.9999995,14.009516
236,Random,3,46,24.5,93.465195,4.9999995,14.009516
237,Random,3,47,22.5,93.84692,4.9999995,14.009516
238,Random,3,48,21.0,143.02615,4.9999995,14.009516
239,Random,3,49,17.5,87.24242,4.9999995,14.009516
240,Random,3,50,19.0,72.881546,4.9999995,14.009516
241,Random,3,51,17.5,71.21213,4.9999995,14.009516
242,Random,3,52,17.5,108.22083,4.9999995,14.009516
243,Random,3,53,17.0,250.37788,4.9999995,14.009516
244,Random,3,54,16.5,105.663635,4.9999995,14.009516
245,Random,3,55,14.5,82.27374,4.9999995,14.009516
246,Random,3,56,19.0,108.23131,4.9999995,14.009516
247,Random,3,57,15.5,124.495285,4.9999995,14.009516
248,Random,3,58,14.5,103.38624,4.9999995,14.009516
249,Random,3,59,19.0,113.28058,4.9999995,14.009516
250,Random,3,60,18.5,125.88702,4.9999995,14.009516
251,Random,3,61,18.5,128.79405,4.9999995,14.009516
252,Random,3,62,18.5,140.97052,4.9999995,14.009516
253,Random,3,63,17.0,87.74162,4.9999995,14.009516
