index,Sampling Criterion,Sample Size,τ,graph_id
0,MMSE,1,0.12566533069523572,0
1,MMSE,2,0.13247816972031656,0
2,MMSE,3,0.1468092095498359,0
3,MMSE,4,0.15293341374064395,0
4,MMSE,5,0.15854116607112642,0
5,MMSE,6,0.16114815338451932,0
6,MMSE,7,0.205116160549729,0
7,MMSE,8,0.22240604725073784,0
8,MMSE,9,0.24410526379142466,0
9,MMSE,10,0.2491991479145609,0
10,MMSE,11,0.2564876663372353,0
11,MMSE,12,0.26391859116289457,0
12,MMSE,13,0.2768949904381312,0
13,MMSE,14,0.2788595474481749,0
14,MMSE,15,0.28277019621551963,0
15,MMSE,16,0.3009758161145328,0
16,MMSE,17,0.3183729495426732,0
17,MMSE,18,0.3260892709703498,0
18,MMSE,19,0.3276441469959792,0
19,MMSE,20,0.3471668477236683,0
20,MMSE,21,0.3566491445123496,0
21,MMSE,22,0.3664059506775295,0
22,MMSE,23,0.3847793815723172,0
23,MMSE,24,0.39365332508719175,0
24,MMSE,25,0.39877759393600487,0
25,MMSE,26,0.4027496374972088,0
26,MMSE,27,0.4089449954891705,0
27,MMSE,28,0.43342079970917097,0
28,MMSE,29,0.4426742108866648,0
29,MMSE,30,0.46208347901476826,0
30,MMSE,31,0.4653735665928053,0
31,MMSE,32,0.5011189958076159,0
32,MMSE,33,0.5128217801316424,0
33,MMSE,34,0.5237018325414752,0
34,MMSE,35,0.5907440237045961,0
35,MMSE,36,0.6407777275473436,0
36,MMSE,37,0.6600965010123702,0
37,MMSE,38,0.6714577980657055,0
38,MMSE,39,0.7535834599743936,0
39,MMSE,40,0.8251799090897152,0
40,MMSE,41,0.87140467721984,0
41,MMSE,42,0.9307127218433436,0
42,MMSE,43,0.9852000666673064,0
43,MMSE,44,1.1225550251873813,0
44,MMSE,45,1.3967687304046281,0
45,MMSE,46,1.5040897784991472,0
46,MMSE,47,2.3424530722328427,0
47,MMSE,48,3.0652828711054956,0
48,MMSE,49,3.362284714145312,0
49,MMSE,50,3.708168827604118,0
50,MMSE,51,-4.122420555376459,0
51,MMSE,52,-2.7413799765505247,0
52,MMSE,53,-1.8023888693696763,0
53,MMSE,54,-1.5645301267161786,0
54,MMSE,55,-1.3441272256890329,0
55,MMSE,56,-0.924041327542696,0
56,MMSE,57,-0.7343911865728614,0
57,MMSE,58,-0.7167522466825261,0
58,MMSE,59,-0.6809506488325638,0
59,MMSE,60,-0.5933601532861275,0
60,MMSE,61,-0.5373851454927376,0
61,MMSE,62,-0.5245377310834186,0
62,MMSE,63,-0.422214377084407,0
63,MMSE,64,-0.37581216832083725,0
64,MMSE,65,-0.33199270623215116,0
65,MMSE,66,-0.29314103795460655,0
66,MMSE,67,-0.2831997872756119,0
67,MMSE,68,-0.26004659687085335,0
68,MMSE,69,-0.2542700823876203,0
69,MMSE,70,-0.25004393807675457,0
70,MMSE,71,-0.24922201659447013,0
71,MMSE,72,-0.2427531125583613,0
72,MMSE,73,-0.22656501028399703,0
73,MMSE,74,-0.1962634452998458,0
74,MMSE,75,-0.19597293664459414,0
75,MMSE,76,-0.19238177659719896,0
76,MMSE,77,-0.19173167678962103,0
77,MMSE,78,-0.17264103174390186,0
78,MMSE,79,-0.163763710323434,0
79,MMSE,80,-0.16225317315928578,0
80,MMSE,81,-0.15991852840581658,0
81,MMSE,82,-0.1472724808625685,0
82,MMSE,83,-0.14442828089599402,0
83,MMSE,84,-0.14270233960215534,0
84,MMSE,85,-0.1371232435946567,0
85,MMSE,86,-0.13637682545032134,0
86,MMSE,87,-0.12005659100344417,0
87,MMSE,88,-0.11910703533119005,0
88,MMSE,89,-0.11760994534872396,0
89,MMSE,90,-0.11403250053802197,0
90,MMSE,91,-0.11114369448520164,0
91,MMSE,92,-0.1110035160812302,0
92,MMSE,93,-0.10923231742258395,0
93,MMSE,94,-0.10566123777607146,0
94,MMSE,95,-0.10551791163023694,0
95,MMSE,96,-0.10450573571608998,0
96,MMSE,97,-0.10213230987648245,0
97,MMSE,98,-0.09487369125844794,0
98,MMSE,99,-0.08952293218499677,0
99,MMSE,100,-0.08690890359296617,0
0,Conf. Ellips.,1,0.12566533069523572,0
1,Conf. Ellips.,2,0.13247816972031656,0
2,Conf. Ellips.,3,0.1468092095498359,0
3,Conf. Ellips.,4,0.15293341374064395,0
4,Conf. Ellips.,5,0.15854116607112642,0
5,Conf. Ellips.,6,0.16114815338451932,0
6,Conf. Ellips.,7,0.205116160549729,0
7,Conf. Ellips.,8,0.22240604725073784,0
8,Conf. Ellips.,9,0.24410526379142466,0
9,Conf. Ellips.,10,0.2491991479145609,0
10,Conf. Ellips.,11,0.2564876663372353,0
11,Conf. Ellips.,12,0.26391859116289457,0
12,Conf. Ellips.,13,0.2768949904381312,0
13,Conf. Ellips.,14,0.2788595474481749,0
14,Conf. Ellips.,15,0.28277019621551963,0
15,Conf. Ellips.,16,0.3009758161145328,0
16,Conf. Ellips.,17,0.3183729495426732,0
17,Conf. Ellips.,18,0.3275923603134743,0
18,Conf. Ellips.,19,0.3261410576528547,0
19,Conf. Ellips.,20,0.3471668477236698,0
20,Conf. Ellips.,21,0.35664914451234675,0
21,Conf. Ellips.,22,0.3664059506775331,0
22,Conf. Ellips.,23,0.40663875306461034,0
23,Conf. Ellips.,24,0.393545537627827,0
24,Conf. Ellips.,25,0.39260489134121096,0
25,Conf. Ellips.,26,0.3994065005321758,0
26,Conf. Ellips.,27,0.4213944082689139,0
27,Conf. Ellips.,28,0.4396469635637089,0
28,Conf. Ellips.,29,0.4307614406800212,0
29,Conf. Ellips.,30,0.45793194018357325,0
30,Conf. Ellips.,31,0.45052655452325896,0
31,Conf. Ellips.,32,0.5011189958076102,0
32,Conf. Ellips.,33,0.5128217801316509,0
33,Conf. Ellips.,34,0.536755624280677,0
34,Conf. Ellips.,35,0.6564413030821684,0
35,Conf. Ellips.,36,0.6663433593061641,0
36,Conf. Ellips.,37,0.5803471518997639,0
37,Conf. Ellips.,38,0.7303838830722428,0
38,Conf. Ellips.,39,0.8346727204321013,0
39,Conf. Ellips.,40,0.8023749007406593,0
40,Conf. Ellips.,41,0.9255814694884095,0
41,Conf. Ellips.,42,0.9187091055860293,0
42,Conf. Ellips.,43,1.4199890676968323,0
43,Conf. Ellips.,44,1.1546954186718408,0
44,Conf. Ellips.,45,1.3673487572236411,0
45,Conf. Ellips.,46,1.2328928701865467,0
46,Conf. Ellips.,47,1.486402586653344,0
47,Conf. Ellips.,48,2.5577253326940905,0
48,Conf. Ellips.,49,4.17376541644449,0
49,Conf. Ellips.,50,7.179186806469726,0
50,Conf. Ellips.,51,-6.102974572408835,0
51,Conf. Ellips.,52,-2.738233849075272,0
52,Conf. Ellips.,53,-2.6832600073491335,0
53,Conf. Ellips.,54,-1.0216121855065012,0
54,Conf. Ellips.,55,-1.9641595686117512,0
55,Conf. Ellips.,56,-0.8549768264663384,0
56,Conf. Ellips.,57,-0.7248018704518188,0
57,Conf. Ellips.,58,-0.8771824016109463,0
58,Conf. Ellips.,59,-0.44699212173891567,0
59,Conf. Ellips.,60,-0.6560672963532455,0
60,Conf. Ellips.,61,-0.8478020135742355,0
61,Conf. Ellips.,62,-0.4040933434406412,0
62,Conf. Ellips.,63,-0.46091327038634233,0
63,Conf. Ellips.,64,-0.36044554785328276,0
64,Conf. Ellips.,65,-0.2737969328915284,0
65,Conf. Ellips.,66,-0.32707057355298164,0
66,Conf. Ellips.,67,-0.412796868203867,0
67,Conf. Ellips.,68,-0.24213941192344635,0
68,Conf. Ellips.,69,-0.13772991127830778,0
69,Conf. Ellips.,70,-0.2185071461196202,0
70,Conf. Ellips.,71,-0.26785541697935855,0
71,Conf. Ellips.,72,-0.2722182268133594,0
72,Conf. Ellips.,73,-0.17962603780762834,0
73,Conf. Ellips.,74,-0.121214409083845,0
74,Conf. Ellips.,75,-0.30822496919311393,0
75,Conf. Ellips.,76,-0.18498468919959238,0
76,Conf. Ellips.,77,-0.23714334214832036,0
77,Conf. Ellips.,78,-0.1528225997063572,0
78,Conf. Ellips.,79,-0.22683490247143823,0
