,Sampling Type,Sample Size,class_error,rec_error
155,Classification-optimal,26,0,2.0721749e-11
156,Classification-optimal,27,0,8.146434e-12
157,Classification-optimal,28,0,9.355438e-12
158,Classification-optimal,29,0,2.015335e-11
159,Classification-optimal,30,0,1.2258143e-11
160,Classification-optimal,31,0,6.6859187e-12
161,Classification-optimal,32,0,5.710747e-12
162,Classification-optimal,33,0,6.672628e-12
163,Classification-optimal,34,0,4.3223567e-12
164,Classification-optimal,35,0,6.582513e-12
165,Classification-optimal,36,0,1.0497927e-11
166,Classification-optimal,37,0,6.8632942e-12
167,Classification-optimal,38,0,4.395074e-12
168,Classification-optimal,39,0,3.7399905e-12
169,Classification-optimal,40,0,5.4369096e-12
170,Classification-optimal,41,0,6.4204757e-12
171,Classification-optimal,42,0,5.11102e-12
172,Classification-optimal,43,0,4.8075623e-12
173,Classification-optimal,44,0,6.38723e-12
174,Classification-optimal,45,0,5.616681e-12
175,Classification-optimal,46,0,5.4410343e-12
176,Classification-optimal,47,0,5.2700977e-12
177,Classification-optimal,48,0,6.4788916e-12
178,Classification-optimal,49,0,5.4460087e-12
179,Classification-optimal,50,0,5.228279e-12
180,Classification-optimal,51,0,5.4178736e-12
181,Classification-optimal,52,0,6.625616e-12
182,Classification-optimal,53,0,4.4078803e-12
183,Classification-optimal,54,0,4.6737033e-12
184,Classification-optimal,55,0,6.9215337e-12
185,Classification-optimal,56,0,5.9905887e-12
186,Classification-optimal,57,0,6.238014e-12
187,Classification-optimal,58,0,6.7989746e-12
188,Classification-optimal,59,0,4.0257554e-12
189,Classification-optimal,60,0,4.2954637e-12
190,Classification-optimal,61,0,3.586961e-12
191,Classification-optimal,62,0,5.2557563e-12
192,Classification-optimal,63,0,5.096996e-12
193,Classification-optimal,64,0,4.6914994e-12
194,Classification-optimal,65,0,5.3827715e-12
195,Classification-optimal,66,0,5.5476027e-12
196,Classification-optimal,67,0,3.4735183e-12
197,Classification-optimal,68,0,4.1408283e-12
198,Classification-optimal,69,0,5.403283e-12
199,Classification-optimal,70,0,3.5781955e-12
200,Classification-optimal,71,0,4.156e-12
201,Classification-optimal,72,0,4.48103e-12
202,Classification-optimal,73,0,4.5549137e-12
203,Classification-optimal,74,0,5.232704e-12
204,Classification-optimal,75,0,6.0940753e-12
205,Classification-optimal,76,0,5.5497547e-12
206,Classification-optimal,77,0,5.395594e-12
207,Classification-optimal,78,0,4.3835083e-12
208,Classification-optimal,79,0,4.8841382e-12
209,Classification-optimal,80,0,5.53096e-12
210,Classification-optimal,81,0,5.3347175e-12
211,Classification-optimal,82,0,3.95193e-12
212,Classification-optimal,83,0,4.01242e-12
213,Classification-optimal,84,0,4.3007815e-12
214,Classification-optimal,85,0,3.418578e-12
215,Classification-optimal,86,0,3.2671864e-12
216,Classification-optimal,87,0,2.8193739e-12
217,Classification-optimal,88,0,3.2400025e-12
218,Classification-optimal,89,0,4.791055e-12
219,Classification-optimal,90,0,3.0898682e-12
220,Classification-optimal,91,0,4.0087334e-12
221,Classification-optimal,92,0,2.7522257e-12
222,Classification-optimal,93,0,3.6385916e-12
223,Classification-optimal,94,0,3.4453618e-12
224,Classification-optimal,95,0,3.42558e-12
225,Classification-optimal,96,0,4.222795e-12
226,Classification-optimal,97,0,3.3357611e-12
227,Classification-optimal,98,0,3.8955987e-12
228,Classification-optimal,99,0,4.928582e-12
229,Classification-optimal,100,0,6.0853033e-12
230,Classification-optimal,101,0,3.4248724e-12
231,Classification-optimal,102,0,3.5540937e-12
232,Classification-optimal,103,0,3.5277228e-12
233,Classification-optimal,104,0,5.7720794e-12
234,Classification-optimal,105,0,4.425486e-12
235,Classification-optimal,106,0,6.938245e-12
236,Classification-optimal,107,0,6.735967e-12
237,Classification-optimal,108,0,4.3320603e-12
238,Classification-optimal,109,0,2.6898507e-12
239,Classification-optimal,110,0,4.390536e-12
240,Classification-optimal,111,0,5.5064317e-12
241,Classification-optimal,112,0,4.3486625e-12
242,Classification-optimal,113,0,3.272898e-12
243,Classification-optimal,114,0,4.3104305e-12
244,Classification-optimal,115,0,2.337107e-12
245,Classification-optimal,116,0,3.2839935e-12
246,Classification-optimal,117,0,2.4587864e-12
247,Classification-optimal,118,0,2.498844e-12
248,Classification-optimal,119,0,3.0288077e-12
249,Classification-optimal,120,0,2.7029065e-12
250,Classification-optimal,121,0,1.7048126e-12
251,Classification-optimal,122,0,1.6019038e-12
252,Classification-optimal,123,0,1.5253431e-12
253,Classification-optimal,124,0,1.8427668e-12
254,Classification-optimal,125,0,2.1288752e-12
255,Classification-optimal,126,0,2.1215163e-12
256,Classification-optimal,127,0,2.001054e-12
257,Classification-optimal,128,0,1.7014978e-12
258,Classification-optimal,129,0,2.4461208e-12
259,Classification-optimal,130,0,2.2190815e-12
260,Reconstruction-optimal,1,90,12.0
261,Reconstruction-optimal,2,90,11.0
262,Reconstruction-optimal,3,90,10.0
263,Reconstruction-optimal,4,90,9.0
264,Reconstruction-optimal,5,90,7.9999995
265,Reconstruction-optimal,6,91,7.0
266,Reconstruction-optimal,7,85,6.0
267,Reconstruction-optimal,8,81,5.0
268,Reconstruction-optimal,9,79,3.9999998
269,Reconstruction-optimal,10,77,3.0
270,Reconstruction-optimal,11,64,2.0
271,Reconstruction-optimal,12,45,1.0
272,Reconstruction-optimal,13,0,3.6686995e-12
273,Reconstruction-optimal,14,0,3.8173948e-12
274,Reconstruction-optimal,15,0,4.6354227e-12
