Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,MMSE,0.0001,1,4.309327,8.49589393980756
0,MMSE,0.0001,2,3.7538583,7.84772609695112
0,MMSE,0.0001,3,3.5141032,7.482286113761703
0,MMSE,0.0001,4,3.4858057,7.2298128799719175
0,MMSE,0.0001,5,3.4804878,7.044006873034162
0,MMSE,0.0001,6,3.5765955,6.899137972068942
0,MMSE,0.0001,7,3.5108626,6.781707701601965
0,MMSE,0.0001,8,3.5201354,6.683904442616828
0,MMSE,0.0001,9,3.500116,6.600331478016674
0,MMSE,0.0001,10,3.5449226,6.528572159003141
0,MMSE,0.0001,11,3.6118505,6.466697503482261
0,MMSE,0.0001,12,3.5435994,6.412738737185318
0,MMSE,0.0001,13,3.5853343,6.365428292163512
0,MMSE,0.0001,14,3.607308,6.3235456606424165
0,MMSE,0.0001,15,3.633034,6.286390602396574
0,MMSE,0.0001,16,3.6530447,6.253320156463625
0,MMSE,0.0001,17,3.683166,6.22379461146183
0,MMSE,0.0001,18,3.7443035,6.1973987036916265
0,MMSE,0.0001,19,3.7790136,6.173733638259779
0,MMSE,0.0001,20,3.8522308,6.152516807013191
0,MMSE,0.0001,21,3.855982,6.133491046265462
0,MMSE,0.0001,22,3.8747663,6.116429968695582
0,MMSE,0.0001,23,3.9068656,6.101135033326733
0,MMSE,0.0001,24,3.940375,6.087432027007901
0,MMSE,0.0001,25,3.9392848,6.075167909698151
0,MMSE,0.0001,26,4.0144,6.064206107272076
0,MMSE,0.0001,27,3.9932187,6.054421219120658
0,MMSE,0.0001,28,4.026737,6.0456917222313935
0,MMSE,0.0001,29,4.0386233,6.037879079272043
0,MMSE,0.0001,30,4.0611424,6.030920241461394
0,MMSE,0.0001,31,4.0837884,6.024689256172206
0,MMSE,0.0001,32,4.1311703,6.01910048178112
0,MMSE,0.0001,33,4.176134,6.014043746202774
0,MMSE,0.0001,34,4.195789,6.009248425968776
0,MMSE,0.0001,35,4.2767873,6.004877012139636
0,MMSE,0.0001,36,4.2390103,6.000719644844547
0,MMSE,0.0001,37,4.232281,5.997021271684597
0,MMSE,0.0001,38,4.2573137,5.992799892846391
0,MMSE,0.0001,39,4.2749224,5.985622466872155
0,MMSE,0.0001,40,4.308386,5.9753138084397746
0,MMSE,0.0001,41,4.327061,5.9605678354926415
0,MMSE,0.0001,42,4.326545,5.940769585981005
0,MMSE,0.0001,43,4.3561335,5.919669452223756
0,MMSE,0.0001,44,4.346724,5.8455687280942445
0,MMSE,0.0001,45,4.374703,5.51790237041044
0,MMSE,0.01,1,4.4172564,8.49589393980756
0,MMSE,0.01,2,3.8864145,7.84772609695112
0,MMSE,0.01,3,3.540372,7.482286113761703
0,MMSE,0.01,4,3.4903753,7.2298128799719175
0,MMSE,0.01,5,3.5394917,7.044006873034162
0,MMSE,0.01,6,3.4842355,6.899137972068942
0,MMSE,0.01,7,3.5044954,6.781707701601965
0,MMSE,0.01,8,3.508027,6.683904442616828
0,MMSE,0.01,9,3.535301,6.600331478016674
0,MMSE,0.01,10,3.5722234,6.528572159003141
0,MMSE,0.01,11,3.5279038,6.466697503482261
0,MMSE,0.01,12,3.5482504,6.412738737185318
0,MMSE,0.01,13,3.64375,6.365428292163512
0,MMSE,0.01,14,3.5679376,6.3235456606424165
0,MMSE,0.01,15,3.579932,6.286390602396574
0,MMSE,0.01,16,3.6095798,6.253320156463625
0,MMSE,0.01,17,3.62408,6.22379461146183
0,MMSE,0.01,18,3.6848228,6.1973987036916265
0,MMSE,0.01,19,3.7503302,6.173733638259779
0,MMSE,0.01,20,3.7995155,6.152516807013191
0,MMSE,0.01,21,3.7770133,6.133491046265462
0,MMSE,0.01,22,3.8153243,6.116429968695582
0,MMSE,0.01,23,3.8444912,6.101135033326733
0,MMSE,0.01,24,3.8727357,6.087432027007901
0,MMSE,0.01,25,3.8932498,6.075167909698151
0,MMSE,0.01,26,3.9476495,6.064206107272076
0,MMSE,0.01,27,3.9355218,6.054421219120658
0,MMSE,0.01,28,3.9767232,6.0456917222313935
0,MMSE,0.01,29,3.98361,6.037879079272043
0,MMSE,0.01,30,3.998921,6.030920241461394
0,MMSE,0.01,31,4.03572,6.024689256172206
0,MMSE,0.01,32,4.0504313,6.01910048178112
0,MMSE,0.01,33,4.0984488,6.014043746202774
0,MMSE,0.01,34,4.1516356,6.009248425968776
0,MMSE,0.01,35,4.22953,6.004877012139636
0,MMSE,0.01,36,4.1815186,6.000719644844547
0,MMSE,0.01,37,4.1676273,5.997021271684597
0,MMSE,0.01,38,4.190853,5.992799892846391
0,MMSE,0.01,39,4.201053,5.985622466872155
0,MMSE,0.01,40,4.253045,5.9753138084397746
0,MMSE,0.01,41,4.2458873,5.9605678354926415
0,MMSE,0.01,42,4.266593,5.940769585981005
0,MMSE,0.01,43,4.2799206,5.919669452223756
0,MMSE,0.01,44,4.2928658,5.8455687280942445
0,MMSE,0.01,45,4.3186493,5.51790237041044
0,MMSE,1.0,1,4.313567,8.49589393980756
0,MMSE,1.0,2,3.6736596,7.84772609695112
0,MMSE,1.0,3,3.2426543,7.482286113761703
0,MMSE,1.0,4,3.1368134,7.2298128799719175
0,MMSE,1.0,5,2.9458175,7.044006873034162
0,MMSE,1.0,6,2.7589002,6.899137972068942
0,MMSE,1.0,7,2.6706674,6.781707701601965
0,MMSE,1.0,8,2.6282277,6.683904442616828
0,MMSE,1.0,9,2.5355842,6.600331478016674
0,MMSE,1.0,10,2.435477,6.528572159003141
0,MMSE,1.0,11,2.402792,6.466697503482261
0,MMSE,1.0,12,2.400536,6.412738737185318
0,MMSE,1.0,13,2.371609,6.365428292163512
0,MMSE,1.0,14,2.2886827,6.3235456606424165
0,MMSE,1.0,15,2.3447087,6.286390602396574
0,MMSE,1.0,16,2.327464,6.253320156463625
0,MMSE,1.0,17,2.3012445,6.22379461146183
0,MMSE,1.0,18,2.2737172,6.1973987036916265
0,MMSE,1.0,19,2.3491375,6.173733638259779
0,MMSE,1.0,20,2.33905,6.152516807013191
0,MMSE,1.0,21,2.370372,6.133491046265462
0,MMSE,1.0,22,2.301436,6.116429968695582
0,MMSE,1.0,23,2.329189,6.101135033326733
0,MMSE,1.0,24,2.2825446,6.087432027007901
0,MMSE,1.0,25,2.3367095,6.075167909698151
0,MMSE,1.0,26,2.334173,6.064206107272076
0,MMSE,1.0,27,2.4511888,6.054421219120658
0,MMSE,1.0,28,2.4204285,6.0456917222313935
0,MMSE,1.0,29,2.371228,6.037879079272043
0,MMSE,1.0,30,2.3747337,6.030920241461394
0,MMSE,1.0,31,2.3865747,6.024689256172206
0,MMSE,1.0,32,2.3946245,6.01910048178112
0,MMSE,1.0,33,2.3733156,6.014043746202774
0,MMSE,1.0,34,2.3305018,6.009248425968776
0,MMSE,1.0,35,2.4478745,6.004877012139636
0,MMSE,1.0,36,2.724665,6.000719644844547
0,MMSE,1.0,37,2.704695,5.997021271684597
0,MMSE,1.0,38,2.6028614,5.992799892846391
0,MMSE,1.0,39,2.7263687,5.985622466872155
0,MMSE,1.0,40,2.6160505,5.9753138084397746
0,MMSE,1.0,41,2.5569372,5.9605678354926415
0,MMSE,1.0,42,2.5396585,5.940769585981005
0,MMSE,1.0,43,2.4907134,5.919669452223756
0,MMSE,1.0,44,2.5101485,5.8455687280942445
0,MMSE,1.0,45,2.510513,5.51790237041044
0,WMSE,0.0001,1,4.4158425,8.49589393980756
0,WMSE,0.0001,2,3.8316934,7.84772609695112
0,WMSE,0.0001,3,3.947806,7.482286113761703
0,WMSE,0.0001,4,4.043187,7.2298128799719175
0,WMSE,0.0001,5,3.928044,7.044006873034162
0,WMSE,0.0001,6,3.890565,6.899137972068942
0,WMSE,0.0001,7,3.8831542,6.781707701601965
0,WMSE,0.0001,8,3.9323065,6.683904442616828
0,WMSE,0.0001,9,3.9469352,6.600331478016674
0,WMSE,0.0001,10,3.9001544,6.528572159003141
0,WMSE,0.0001,11,3.918651,6.466697503482261
0,WMSE,0.0001,12,3.9470744,6.412738737185318
0,WMSE,0.0001,13,3.953647,6.365428292163512
0,WMSE,0.0001,14,3.9637098,6.3235456606424165
0,WMSE,0.0001,15,3.9610753,6.286390602396574
0,WMSE,0.0001,16,3.978805,6.253320156463625
0,WMSE,0.0001,17,3.950205,6.22379461146183
0,WMSE,0.0001,18,3.9776754,6.1973987036916265
0,WMSE,0.0001,19,3.9650118,6.173733638259779
0,WMSE,0.0001,20,3.9650116,6.152516807013191
0,WMSE,0.0001,21,3.9740553,6.133491046265462
0,WMSE,0.0001,22,3.9840648,6.116429968695582
0,WMSE,0.0001,23,4.0189147,6.101135033326733
0,WMSE,0.0001,24,4.021306,6.087432027007901
0,WMSE,0.0001,25,4.04178,6.075167909698151
0,WMSE,0.0001,26,4.064726,6.064206107272076
0,WMSE,0.0001,27,4.088072,6.054421219120658
0,WMSE,0.0001,28,4.099551,6.0456917222313935
0,WMSE,0.0001,29,4.1002674,6.037879079272043
0,WMSE,0.0001,30,4.1037965,6.030920241461394
0,WMSE,0.0001,31,4.136292,6.024689256172206
0,WMSE,0.0001,32,4.155071,6.01910048178112
0,WMSE,0.0001,33,4.1766033,6.014043746202774
0,WMSE,0.0001,34,4.1920834,6.009248425968776
0,WMSE,0.0001,35,4.2036943,6.004877012139636
