Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,MMSE,1.0,10,-4.701316,4.275620069530404
0,MMSE,1.0,11,-5.133134,4.232187900536923
0,MMSE,1.0,12,-5.172688,4.197005351802112
0,MMSE,1.0,13,-5.3433723,4.168620485309964
0,MMSE,1.0,14,-5.581928,4.145896266530034
0,MMSE,1.0,15,-5.6339355,4.127926552970355
0,MMSE,1.0,16,-5.653856,4.113978588162381
0,MMSE,1.0,17,-5.6740794,4.103452808670709
0,MMSE,1.0,18,-5.736926,4.095853435560788
0,MMSE,1.0,19,-5.7641745,4.090766911156284
0,MMSE,1.0,20,-5.843185,4.087845746435722
0,MMSE,1.0,21,-5.9624715,4.086796016290055
0,MMSE,1.0,22,-6.197083,4.0873676980825655
0,MMSE,1.0,23,-6.235459,4.089346986449379
0,MMSE,1.0,24,-6.3163357,4.09255024127975
0,MMSE,1.0,25,-6.3493576,4.096819117732434
0,MMSE,1.0,26,-6.414259,4.102016595329956
0,MMSE,1.0,27,-6.42653,4.108023615774391
0,MMSE,1.0,28,-6.4469137,4.11473659387946
0,MMSE,1.0,29,-6.4668493,4.122064944917152
0,MMSE,1.0,30,-6.504733,4.129929513389915
0,MMSE,1.0,31,-6.6326375,4.13826065555788
0,MMSE,1.0,32,-6.6442723,4.146997331152573
0,MMSE,1.0,33,-6.7346354,4.156085623018464
0,MMSE,1.0,34,-6.7440867,4.1654779925893255
0,MMSE,1.0,35,-6.780988,4.175132444668677
0,MMSE,1.0,36,-6.834005,4.185011765088338
0,MMSE,1.0,37,-6.8585386,4.1950829802118355
0,MMSE,1.0,38,-6.8743367,4.205316837606633
0,MMSE,1.0,39,-6.9381714,4.215687330219224
0,MMSE,1.0,40,-6.962571,4.226171352483969
0,MMSE,1.0,41,-7.0410333,4.2367483119844005
0,MMSE,1.0,42,-7.0559587,4.24739992278972
0,MMSE,1.0,43,-7.066515,4.258109835109234
0,MMSE,1.0,44,-7.1138883,4.268863479289035
0,MMSE,1.0,45,-7.122151,4.279647897215819
0,WMSE,0.0001,1,-2.7070124,6.1186868243838255
0,WMSE,0.0001,2,-2.7139292,5.485008306115363
0,WMSE,0.0001,3,-2.7817774,5.129539083088365
0,WMSE,0.0001,4,-3.069342,4.889206583600273
0,WMSE,0.0001,5,-4.270302,4.714486374345618
0,WMSE,0.0001,6,-4.7023005,4.581654941482811
0,WMSE,0.0001,7,-4.7451653,4.477910377896217
0,WMSE,0.0001,8,-5.0915,4.395453810916478
0,WMSE,0.0001,9,-5.7835035,4.329196035358266
0,WMSE,0.0001,10,-6.115574,4.275620069530404
0,WMSE,0.0001,11,-6.310866,4.232187900536923
0,WMSE,0.0001,12,-6.796922,4.197005351802112
0,WMSE,0.0001,13,-7.095446,4.168620485309964
0,WMSE,0.0001,14,-7.27179,4.145896266530034
0,WMSE,0.0001,15,-7.3603363,4.127926552970355
0,WMSE,0.0001,16,-7.390639,4.113978588162381
0,WMSE,0.0001,17,-7.4762125,4.103452808670709
0,WMSE,0.0001,18,-7.6375947,4.095853435560788
0,WMSE,0.0001,19,-7.8559136,4.090766911156284
0,WMSE,0.0001,20,-7.934169,4.087845746435722
0,WMSE,0.0001,21,-8.178263,4.086796016290055
0,WMSE,0.0001,22,-8.373468,4.0873676980825655
0,WMSE,0.0001,23,-8.668074,4.089346986449379
0,WMSE,0.0001,24,-8.799977,4.09255024127975
0,WMSE,0.0001,25,-9.0570965,4.096819117732434
0,WMSE,0.0001,26,-9.124267,4.102016595329956
0,WMSE,0.0001,27,-9.171575,4.108023615774391
0,WMSE,0.0001,28,-9.337614,4.11473659387946
0,WMSE,0.0001,29,-9.401201,4.122064944917152
0,WMSE,0.0001,30,-9.470249,4.129929513389915
0,WMSE,0.0001,31,-9.602058,4.13826065555788
0,WMSE,0.0001,32,-9.785464,4.146997331152573
0,WMSE,0.0001,33,-10.016708,4.156085623018464
0,WMSE,0.0001,34,-10.284154,4.1654779925893255
0,WMSE,0.0001,35,-10.449354,4.175132444668677
0,WMSE,0.0001,36,-10.473083,4.185011765088338
0,WMSE,0.0001,37,-10.587646,4.1950829802118355
0,WMSE,0.0001,38,-10.70617,4.205316837606633
0,WMSE,0.0001,39,-10.99342,4.215687330219224
0,WMSE,0.0001,40,-11.448308,4.226171352483969
