index,# Vertices,μ,τ_GLR_bl,graph_id
0,500,1e-06,0.05571719456033663,0
1,500,1.2589254e-06,0.05561505397507912,0
2,500,1.5848932e-06,0.055486504111752974,0
3,500,1.9952622e-06,0.055324668416745264,0
4,500,2.5118864e-06,0.0551210430228562,0
5,500,3.1622776e-06,0.05486492727241753,0
6,500,3.9810716e-06,0.05454277300591433,0
7,500,5.0118724e-06,0.054137615436909925,0
8,500,6.3095736e-06,0.053628219453063924,0
9,500,7.943282e-06,0.05298798219485826,0
10,500,1e-05,0.0521836734073246,0
11,500,1.2589254e-05,0.05117389167296463,0
12,500,1.5848931e-05,0.04990687029864425,0
13,500,1.9952624e-05,0.04831844650420209,0
14,500,2.5118865e-05,0.04632925682551066,0
15,500,3.1622778e-05,0.04384152214598167,0
16,500,3.981072e-05,0.04073541531168151,0
17,500,5.0118724e-05,0.03686544390170119,0
18,500,6.309574e-05,0.03205604369305666,0
19,500,7.943282e-05,0.026098356059288126,0
20,500,1e-04,0.018746973292605825,0
21,500,0.00012589255,0.009719573786276765,0
22,500,0.00015848932,-0.0013012058754013943,0
23,500,0.00019952623,-0.014660679682356223,0
24,500,0.00025118864,-0.030719284126447907,0
25,500,0.00031622776,-0.0498310389036187,0
26,500,0.00039810716,-0.07231507106215165,0
27,500,0.0005011872,-0.09841981736524137,0
28,500,0.00063095737,-0.12828525398267357,0
29,500,0.0007943282,-0.16190913135599488,0
30,500,0.001,-0.1991274273128273,0
31,500,0.0012589254,-0.23961376303872226,0
32,500,0.0015848932,-0.2829033745006919,0
33,500,0.0019952622,-0.32843493282186537,0
34,500,0.0025118864,-0.37559927035164603,0
35,500,0.0031622776,-0.4237800031486891,0
36,500,0.0039810715,-0.4723753066433714,0
37,500,0.0050118724,-0.5207986467180988,0
38,500,0.0063095735,-0.5684666806599759,0
39,500,0.007943282,-0.6147893781630165,0
40,500,0.01,-0.6591748286974815,0
41,500,0.012589254,-0.7010547805848616,0
42,500,0.015848933,-0.7399260431596056,0
43,500,0.019952623,-0.7753952557240018,0
44,500,0.025118865,-0.8072132186752843,0
45,500,0.031622775,-0.8352895966570767,0
46,500,0.039810717,-0.8596848976712919,0
47,500,0.050118722,-0.8805856180334753,0
48,500,0.06309573,-0.8982698819397037,0
49,500,0.07943282,-0.913070595455754,0
50,500,0.1,-0.9253426307612149,0
51,500,0.12589253,-0.9354383100246754,0
52,500,0.15848932,-0.9436890063627414,0
53,500,0.19952624,-0.9503953740237305,0
54,500,0.25118864,-0.9558226387251647,0
55,500,0.31622776,-0.9601987472154936,0
56,500,0.39810717,-0.9637170797211511,0
57,500,0.5011872,-0.9665394911697758,0
58,500,0.63095737,-0.9687997571045933,0
59,500,0.7943282,-0.9706074485113825,0
60,500,1.0,-0.9720521072200395,0
61,500,1.2589254,-0.9732063308369403,0
62,500,1.5848932,-0.9741285390128606,0
63,500,1.9952623,-0.9748665051582388,0
64,500,2.5118864,-0.9754582294680837,0
65,500,3.1622777,-0.9759344969098264,0
66,500,3.9810717,-0.9763202407816143,0
67,500,5.0118723,-0.9766356442326609,0
68,500,6.3095737,-0.9768974210292799,0
69,500,7.943282,-0.9771193002920955,0
0,1000,1e-06,0.22550258198493672,0
1,1000,1.2589254e-06,0.22525986458212155,0
2,1000,1.5848932e-06,0.2249545909813122,0
3,1000,1.9952622e-06,0.2245706492168483,0
4,1000,2.5118864e-06,0.22408784572315874,0
5,1000,3.1622776e-06,0.223480923043905,0
6,1000,3.9810716e-06,0.2227182043098351,0
7,1000,5.0118724e-06,0.22176019488163998,0
8,1000,6.3095736e-06,0.22055762644077576,0
9,1000,7.943282e-06,0.21904904037447548,0
10,1000,1e-05,0.21715847934789814,0
11,1000,1.2589254e-05,0.21479188199747007,0
12,1000,1.5848931e-05,0.21183359806435254,0
