index,# Vertices,μ,τ_GLR_bl,graph_id
0,500,1e-06,0.04409907204587625,0
1,500,1.2589254e-06,0.044082817576457836,0
2,500,1.5848932e-06,0.044062298336569314,0
3,500,1.9952622e-06,0.04403650849424358,0
4,500,2.5118864e-06,0.044003999653905536,0
5,500,3.1622776e-06,0.04396312226518117,0
6,500,3.9810716e-06,0.043911663528308595,0
7,500,5.0118724e-06,0.04384692787344594,0
8,500,6.3095736e-06,0.043765334645795725,0
9,500,7.943282e-06,0.04366269977669431,0
10,500,1e-05,0.04353355186124225,0
11,500,1.2589254e-05,0.04337105177495891,0
12,500,1.5848931e-05,0.043166509999332095,0
13,500,1.9952624e-05,0.04290926611637495,0
14,500,2.5118865e-05,0.04258568327096313,0
15,500,3.1622778e-05,0.04217874628398037,0
16,500,3.981072e-05,0.04166713695188707,0
17,500,5.0118724e-05,0.041024188928688164,0
18,500,6.309574e-05,0.040216480880821755,0
19,500,7.943282e-05,0.039202430026243754,0
20,500,1e-04,0.03793016170104414,0
21,500,0.00012589255,0.03633533839047128,0
22,500,0.00015848932,0.03433842354955572,0
23,500,0.00019952623,0.03184141670726642,0
24,500,0.00025118864,0.02872437357379558,0
25,500,0.00031622776,0.02484165360229394,0
26,500,0.00039810716,0.020017860751275245,0
27,500,0.0005011872,0.014044416782837396,0
28,500,0.00063095737,0.006677005577620638,0
29,500,0.0007943282,-0.002365287024057712,0
30,500,0.001,-0.013397262438822432,0
31,500,0.0012589254,-0.026760285705609184,0
32,500,0.0015848932,-0.04280916026762058,0
33,500,0.0019952622,-0.06189044355743017,0
34,500,0.0025118864,-0.08431424922873883,0
35,500,0.0031622776,-0.11031842134386699,0
36,500,0.0039810715,-0.14003276802759215,0
37,500,0.0050118724,-0.17344692443479456,0
38,500,0.0063095735,-0.2103922293586279,0
39,500,0.007943282,-0.25054349909964846,0
40,500,0.01,-0.2934427435328544,0
41,500,0.012589254,-0.33853973327879794,0
42,500,0.015848933,-0.38523748939586433,0
43,500,0.019952623,-0.432929565062266,0
44,500,0.025118865,-0.4810195626299735,0
45,500,0.031622775,-0.5289212664871984,0
46,500,0.039810717,-0.5760490723122902,0
47,500,0.050118722,-0.6218108232405061,0
48,500,0.06309573,-0.6656159415895472,0
49,500,0.07943282,-0.7069023063885213,0
50,500,0.1,-0.7451775397297102,0
51,500,0.12589253,-0.7800618749335381,0
52,500,0.15848932,-0.8113202389501917,0
53,500,0.19952624,-0.8388743913102457,0
54,500,0.25118864,-0.8627939983599585,0
55,500,0.31622776,-0.8832708447737315,0
56,500,0.39810717,-0.9005845542122366,0
57,500,0.5011872,-0.9150665112273931,0
58,500,0.63095737,-0.9270683851677689,0
59,500,0.7943282,-0.9369375337953519,0
60,500,1.0,-0.9449999477471037,0
61,500,1.2589254,-0.9515512394358404,0
62,500,1.5848932,-0.9568508567582826,0
63,500,1.9952623,-0.9611224153235307,0
64,500,2.5118864,-0.9645553963139173,0
65,500,3.1622777,-0.9673074364779913,0
66,500,3.9810717,-0.9695091422736678,0
67,500,5.0118723,-0.9712674808257256,0
68,500,6.3095737,-0.972669765387528,0
69,500,7.943282,-0.9737862167727386,0
0,1000,1e-06,0.2149650112511129,0
1,1000,1.2589254e-06,0.2149236439775577,0
2,1000,1.5848932e-06,0.2148715626443741,0
3,1000,1.9952622e-06,0.21480573960271113,0
4,1000,2.5118864e-06,0.21472324063726986,0
5,1000,3.1622776e-06,0.21461922192611757,0
6,1000,3.9810716e-06,0.21448828126866376,0
7,1000,5.0118724e-06,0.21432357335174804,0
8,1000,6.3095736e-06,0.2141162513106073,0
9,1000,7.943282e-06,0.21385546768443253,0
10,1000,1e-05,0.21352739761567804,0
11,1000,1.2589254e-05,0.2131147753399819,0
12,1000,1.5848931e-05,0.2125960127011637,0
13,1000,1.9952624e-05,0.2119439936316075,0
14,1000,2.5118865e-05,0.21112463880088925,0
15,1000,3.1622778e-05,0.2100958010357594,0
16,1000,3.981072e-05,0.20880467713955875,0
17,1000,5.0118724e-05,0.2071854628777125,0
18,1000,6.309574e-05,0.20515711601626557,0
19,1000,7.943282e-05,0.20261922959531287,0
20,1000,1e-04,0.1994488634940028,0
21,1000,0.00012589255,0.19549619557114203,0
22,1000,0.00015848932,0.19057996878950414,0
23,1000,0.00019952623,0.18448369260820457,0
24,1000,0.00025118864,0.1769519351787899,0
25,1000,0.00031622776,0.16768917947398496,0
26,1000,0.00039810716,0.1563604058512793,0
27,1000,0.0005011872,0.14259754754352297,0
28,1000,0.00063095737,0.1260115954854293,0
29,1000,0.0007943282,0.10621358299440557,0
30,1000,0.001,0.08284330845282005,0
31,1000,0.0012589254,0.055607655826750216,0
32,1000,0.0015848932,0.024321760323150202,0
33,1000,0.0019952622,-0.0110516838082282,0
34,1000,0.0025118864,-0.05037591722184018,0
35,1000,0.0031622776,-0.09333583493211993,0
36,1000,0.0039810715,-0.13946105125232802,0
37,1000,0.0050118724,-0.18817518416815923,0
38,1000,0.0063095735,-0.238858873470545,0
39,1000,0.007943282,-0.29090920521390934,0
40,1000,0.01,-0.3437776460127507,0
41,1000,0.012589254,-0.396975011534072,0
42,1000,0.015848933,-0.45004740746752964,0
43,1000,0.019952623,-0.5025350486602759,0
44,1000,0.025118865,-0.5539352786337135,0
45,1000,0.031622775,-0.6036876439442027,0
46,1000,0.039810717,-0.6511910031056841,0
47,1000,0.050118722,-0.6958500264530209,0
48,1000,0.06309573,-0.737137294012571,0
49,1000,0.07943282,-0.7746506279996659,0
50,1000,0.1,-0.8081535941918696,0
51,1000,0.12589253,-0.8375862224914886,0
52,1000,0.15848932,-0.8630518716123766,0
53,1000,0.19952624,-0.8847842777387322,0
54,1000,0.25118864,-0.9031072309175842,0
55,1000,0.31622776,-0.91839487630098,0
