index,# Vertices,μ,τ_GLR,graph_id
0,500,1e-06,0.17709879291567382,0
1,500,1.2589254e-06,0.17709748674544257,0
2,500,1.5848932e-06,0.17709579960892283,0
3,500,1.9952622e-06,0.17709359544674871,0
4,500,2.5118864e-06,0.17709090147085857,0
5,500,3.1622776e-06,0.17708752719818555,0
6,500,3.9810716e-06,0.1770832549338256,0
7,500,5.0118724e-06,0.1770778669829567,0
8,500,6.3095736e-06,0.17707109122717543,0
9,500,7.943282e-06,0.17706254670070573,0
10,500,1e-05,0.17705177080259926,0
11,500,1.2589254e-05,0.1770382465086274,0
12,500,1.5848931e-05,0.17702121188854272,0
13,500,1.9952624e-05,0.1769997961660787,0
14,500,2.5118865e-05,0.17697277481278537,0
15,500,3.1622778e-05,0.17693881445622095,0
16,500,3.981072e-05,0.17689603749212665,0
17,500,5.0118724e-05,0.17684223978301622,0
18,500,6.309574e-05,0.1767745369081942,0
19,500,7.943282e-05,0.17668936417362538,0
20,500,1e-04,0.17658212286837935,0
21,500,0.00012589255,0.17644731634778518,0
22,500,0.00015848932,0.17627776092140143,0
23,500,0.00019952623,0.17606461311247418,0
24,500,0.00025118864,0.17579663502649487,0
25,500,0.00031622776,0.1754600584161881,0
26,500,0.00039810716,0.17503744198111798,0
27,500,0.0005011872,0.17450712744820535,0
28,500,0.00063095737,0.17384228764195134,0
29,500,0.0007943282,0.173009621067216,0
30,500,0.001,0.17196807411179849,0
31,500,0.0012589254,0.17066740057636864,0
32,500,0.0015848932,0.16904620505462903,0
33,500,0.0019952622,0.16703028695870725,0
34,500,0.0025118864,0.16453079577063065,0
35,500,0.0031622776,0.16144252476171417,0
36,500,0.0039810715,0.15764253400051162,0
37,500,0.0050118724,0.15298972875534558,0
38,500,0.0063095735,0.14732533755129817,0
39,500,0.007943282,0.140475129725661,0
40,500,0.01,0.1322539341576991,0
41,500,0.012589254,0.12247208502125229,0
42,500,0.015848933,0.11094587729896611,0
43,500,0.019952623,0.09751065340749966,0
44,500,0.025118865,0.08203710633315973,0
45,500,0.031622775,0.0644504965615345,0
46,500,0.039810717,0.0447505156645501,0
47,500,0.050118722,0.023029446528321312,0
48,500,0.06309573,-0.000515174093113501,0
49,500,0.07943282,-0.0255783016102532,0
50,500,0.1,-0.05175879132880068,0
51,500,0.12589253,-0.07858739134911875,0
52,500,0.15848932,-0.10556889226605388,0
53,500,0.19952624,-0.13223316627244006,0
54,500,0.25118864,-0.15818580065949456,0
55,500,0.31622776,-0.18314770359243324,0
56,500,0.39810717,-0.20697401739094548,0
57,500,0.5011872,-0.22964733918041208,0
58,500,0.63095737,-0.2512466663398923,0
59,500,0.7943282,-0.2718994390861335,0
60,500,1.0,-0.2917291827347168,0
61,500,1.2589254,-0.31081135194866394,0
62,500,1.5848932,-0.3291477415505141,0
63,500,1.9952623,-0.34666375723927034,0
64,500,2.5118864,-0.36322652911903514,0
65,500,3.1622777,-0.37867641335898156,0
66,500,3.9810717,-0.39286190248504527,0
67,500,5.0118723,-0.40566878058355005,0
68,500,6.3095737,-0.4170377656186579,0
69,500,7.943282,-0.4269691843868924,0
0,1000,1e-06,0.15949130228949063,0
1,1000,1.2589254e-06,0.1594899266438126,0
2,1000,1.5848932e-06,0.15948816581737574,0
3,1000,1.9952622e-06,0.1594860198102186,0
4,1000,2.5118864e-06,0.1594832685190757,0
5,1000,3.1622776e-06,0.15947980189238026,0
6,1000,3.9810716e-06,0.15947542733987138,0
7,1000,5.0118724e-06,0.15946995227135582,0
8,1000,6.3095736e-06,0.1594630190193367,0
9,1000,7.943282e-06,0.15945432494228626,0
10,1000,1e-05,0.15944334729579268,0
11,1000,1.2589254e-05,0.15942953582299438,0
12,1000,1.5848931e-05,0.159412202703334,0
13,1000,1.9952624e-05,0.1593903024498165,0
14,1000,2.5118865e-05,0.15936281709038458,0
15,1000,3.1622778e-05,0.15932820591116167,0
16,1000,3.981072e-05,0.1592846805873857,0
17,1000,5.0118724e-05,0.15922982000597968,0
18,1000,6.309574e-05,0.1591608178866844,0
19,1000,7.943282e-05,0.15907407009648813,0
20,1000,1e-04,0.15896495455769802,0
21,1000,0.00012589255,0.15882769370540306,0
22,1000,0.00015848932,0.15865513441516368,0
23,1000,0.00019952623,0.15843828032838023,0
24,1000,0.00025118864,0.15816587924210995,0
25,1000,0.00031622776,0.15782390048036826,0
26,1000,0.00039810716,0.15739484726391048,0
27,1000,0.0005011872,0.1568569866402625,0
28,1000,0.00063095737,0.1561833869922819,0
29,1000,0.0007943282,0.15534098330196833,0
30,1000,0.001,0.15428895496761905,0
31,1000,0.0012589254,0.15297754438803665,0
32,1000,0.0015848932,0.15134646363885995,0
33,1000,0.0019952622,0.14932294465842152,0
34,1000,0.0025118864,0.14682017614001328,0
35,1000,0.0031622776,0.14373571492656168,0
36,1000,0.0039810715,0.1399495969832131,0
37,1000,0.0050118724,0.135323908492314,0
38,1000,0.0063095735,0.12970257725309817,0
39,1000,0.007943282,0.12291253479149551,0
40,1000,0.01,0.11476731070353403,0
41,1000,0.012589254,0.10507317327965811,0
42,1000,0.015848933,0.09363854107760242,0
43,1000,0.019952623,0.08028752043085759,0
44,1000,0.025118865,0.06487685441223418,0
45,1000,0.031622775,0.047315821959194926,0
46,1000,0.039810717,0.02758729302271917,0
47,1000,0.050118722,0.005766707048762738,0
48,1000,0.06309573,-0.017964479066689635,0
49,1000,0.07943282,-0.04331558029995033,0
50,1000,0.1,-0.06989727953906334,0
51,1000,0.12589253,-0.09724826430064276,0
52,1000,0.15848932,-0.12487735460801119,0
53,1000,0.19952624,-0.15231475357803806,0
54,1000,0.25118864,-0.17916454202954207,0
55,1000,0.31622776,-0.20514605191309332,0
56,1000,0.39810717,-0.23011419646487444,0
57,1000,0.5011872,-0.25405260601372226,0
58,1000,0.63095737,-0.2770408637656465,0
59,1000,0.7943282,-0.2992034611855897,0
60,1000,1.0,-0.32065419690598146,0
61,1000,1.2589254,-0.3414496239709839,0
62,1000,1.5848932,-0.36156282777239407,0
63,1000,1.9952623,-0.380882121322222,0
64,1000,2.5118864,-0.3992326244930138,0
65,1000,3.1622777,-0.4164123242340031,0
66,1000,3.9810717,-0.43223161396358317,0
67,1000,5.0118723,-0.4465461046889776,0
68,1000,6.3095737,-0.4592762771755795,0
69,1000,7.943282,-0.47041253712407183,0
0,2000,1e-06,0.18124984337004954,0
1,2000,1.2589254e-06,0.18124838062210563,0
2,2000,1.5848932e-06,0.18124650830477707,0
3,2000,1.9952622e-06,0.18124413865322828,0
4,2000,2.5118864e-06,0.18124121315760724,0
5,2000,3.1622776e-06,0.18123749777834194,0
6,2000,3.9810716e-06,0.1812328169858462,0
7,2000,5.0118724e-06,0.18122693674072335,0
8,2000,6.3095736e-06,0.18121953523884674,0
9,2000,7.943282e-06,0.18121020291151177,0
10,2000,1e-05,0.18119847168049422,0
11,2000,1.2589254e-05,0.18118369793849556,0
12,2000,1.5848931e-05,0.18116509180448326,0
13,2000,1.9952624e-05,0.18114168786940815,0
14,2000,2.5118865e-05,0.18111222817719907,0
15,2000,3.1622778e-05,0.1810751037167466,0
16,2000,3.981072e-05,0.1810284421890068,0
17,2000,5.0118724e-05,0.18096972769647562,0
18,2000,6.309574e-05,0.18089588851455665,0
19,2000,7.943282e-05,0.18080291678700683,0
20,2000,1e-04,0.18068601481562807,0
21,2000,0.00012589255,0.18053900998732136,0
22,2000,0.00015848932,0.1803542085383806,0
23,2000,0.00019952623,0.1801219567876702,0
24,2000,0.00025118864,0.1798302609248853,0
25,2000,0.00031622776,0.17946396801931214,0
26,2000,0.00039810716,0.1790045322170492,0
27,2000,0.0005011872,0.178428523112119,0
28,2000,0.00063095737,0.17770724599964421,0
29,2000,0.0007943282,0.17680501672514273,0
30,2000,0.001,0.1756782561358439,0
31,2000,0.0012589254,0.17427344429689579,0
32,2000,0.0015848932,0.1725257193475349,0
33,2000,0.0019952622,0.17035665869438152,0
34,2000,0.0025118864,0.16767264731306308,0
35,2000,0.0031622776,0.16436278064010126,0
36,2000,0.0039810715,0.1602977067099343,0
37,2000,0.0050118724,0.15532852980878284,0
38,2000,0.0063095735,0.14928747071813708,0
39,2000,0.007943282,0.1419897223919875,0
40,2000,0.01,0.13323777581841906,0
41,2000,0.012589254,0.12282830661772222,0
42,2000,0.015848933,0.1105630055152325,0
43,2000,0.019952623,0.09626162276058663,0
44,2000,0.025118865,0.07978017408959207,0
45,2000,0.031622775,0.06103008591886072,0
46,2000,0.039810717,0.03999936292128368,0
47,2000,0.050118722,0.016771578656233996,0
48,2000,0.06309573,-0.008460989425684694,0
49,2000,0.07943282,-0.0353941456089308,0
50,2000,0.1,-0.06362281757751781,0
51,2000,0.12589253,-0.0926691028143444,0
52,2000,0.15848932,-0.12202597220693955,0
53,2000,0.19952624,-0.1512113422574382,0
54,2000,0.25118864,-0.17982328716994475,0
55,2000,0.31622776,-0.20758364078607655,0
56,2000,0.39810717,-0.2343593358966101,0
57,2000,0.5011872,-0.26015450610321317,0
58,2000,0.63095737,-0.28507440588094424,0
59,2000,0.7943282,-0.30926939697151407,0
60,2000,1.0,-0.33287326432234654,0
61,2000,1.2589254,-0.35595066109135637,0
62,2000,1.5848932,-0.37846624541926727,0
63,2000,1.9952623,-0.40028151893436376,0
64,2000,2.5118864,-0.4211778916296517,0
65,2000,3.1622777,-0.44089762556949075,0
66,2000,3.9810717,-0.4591907952639041,0
67,2000,5.0118723,-0.475855923265802,0
68,2000,6.3095737,-0.49076644240066764,0
69,2000,7.943282,-0.5038796833617561,0
0,3000,1e-06,0.25273309070584105,0
1,3000,1.2589254e-06,0.25273134491060495,0
2,3000,1.5848932e-06,0.25272924100360694,0
3,3000,1.9952622e-06,0.25272655516499476,0
4,3000,2.5118864e-06,0.25272315310292703,0
5,3000,3.1622776e-06,0.252718855761645,0
6,3000,3.9810716e-06,0.2527135288494918,0
7,3000,5.0118724e-06,0.2527067247270768,0
8,3000,6.3095736e-06,0.2526982195752121,0
9,3000,7.943282e-06,0.2526875209912408,0
10,3000,1e-05,0.2526740918092115,0
11,3000,1.2589254e-05,0.25265708151634164,0
12,3000,1.5848931e-05,0.2526356843655943,0
13,3000,1.9952624e-05,0.25260882602879814,0
14,3000,2.5118865e-05,0.2525749397781509,0
15,3000,3.1622778e-05,0.2525323246010779,0
16,3000,3.981072e-05,0.2524786975638153,0
17,3000,5.0118724e-05,0.25241132811020917,0
18,3000,6.309574e-05,0.25232641137581946,0
19,3000,7.943282e-05,0.2522196948996948,0
20,3000,1e-04,0.25208544907673225,0
21,3000,0.00012589255,0.25191660149273454,0
22,3000,0.00015848932,0.25170446840189176,0
23,3000,0.00019952623,0.251437904304921,0
24,3000,0.00025118864,0.25110321258536955,0
25,3000,0.00031622776,0.2506831609419753,0
26,3000,0.00039810716,0.2501563550786786,0
27,3000,0.0005011872,0.24949629926034397,0
28,3000,0.00063095737,0.24867018862041548,0
29,3000,0.0007943282,0.2476376124593524,0
30,3000,0.001,0.246348900213021,0
31,3000,0.0012589254,0.2447437371953159,0
32,3000,0.0015848932,0.24274839442504606,0
33,3000,0.0019952622,0.24027430396176358,0
34,3000,0.0025118864,0.23721560837597155,0
35,3000,0.0031622776,0.23344640189428248,0
36,3000,0.0039810715,0.2288197240262991,0
37,3000,0.0050118724,0.22316544179593584,0
38,3000,0.0063095735,0.2162907808978475,0
39,3000,0.007943282,0.20798193480869426,0
40,3000,0.01,0.1980088442920493,0
41,3000,0.012589254,0.18613302944065904,0
42,3000,0.015848933,0.17212047626580088,0
43,3000,0.019952623,0.1557578586586953,0
44,3000,0.025118865,0.1368746861010703,0
45,3000,0.031622775,0.11536718317395667,0
46,3000,0.039810717,0.09122373306963001,0
47,3000,0.050118722,0.06454723675895943,0
48,3000,0.06309573,0.03556929986845224,0
49,3000,0.07943282,0.004651712629736659,0
50,3000,0.1,-0.0277294049928156,0
51,3000,0.12589253,-0.06101937373788335,0
52,3000,0.15848932,-0.09463777789772974,0
53,3000,0.19952624,-0.1280425715075089,0
54,3000,0.25118864,-0.16079434111608473,0
55,3000,0.31622776,-0.19260701680379314,0
56,3000,0.39810717,-0.22337243331639117,0
57,3000,0.5011872,-0.2531514233785006,0
58,3000,0.63095737,-0.2821314976621511,0
59,3000,0.7943282,-0.3105598566119543,0
60,3000,1.0,-0.3386663589864378,0
61,3000,1.2589254,-0.3665932349861162,0
62,3000,1.5848932,-0.39434668842671133,0
63,3000,1.9952623,-0.421779946131105,0
64,3000,2.5118864,-0.4486104410030247,0
65,3000,3.1622777,-0.47446536221266467,0
66,3000,3.9810717,-0.4989435016119734,0
67,3000,5.0118723,-0.5216776960624424,0
68,3000,6.3095737,-0.5423840573296937,0
69,3000,7.943282,-0.5608899915261205,0
0,500,1e-06,0.15589591106440412,1
1,500,1.2589254e-06,0.15589464155886332,1
2,500,1.5848932e-06,0.15589294888483335,1
3,500,1.9952622e-06,0.1558908594903847,1
4,500,2.5118864e-06,0.15588824113540015,1
5,500,3.1622776e-06,0.15588496157979656,1
6,500,3.9810716e-06,0.1558807827914029,1
