index,# Vertices,μ,τ_GLR_bl,graph_id
0,500,1e-06,0.04405758019134943,0
1,500,1.2589254e-06,0.044057218121393994,0
2,500,1.5848932e-06,0.04405661467146562,0
3,500,1.9952622e-06,0.04405593076157071,0
4,500,2.5118864e-06,0.044055045701732305,0
5,500,3.1622776e-06,0.04405395949198273,0
6,500,3.9810716e-06,0.04405267213236154,0
7,500,5.0118724e-06,0.04405094224295776,0
8,500,6.3095736e-06,0.04404881005387863,0
9,500,7.943282e-06,0.044046114645329225,0
10,500,1e-05,0.04404269509759306,0
11,500,1.2589254e-05,0.04403843072116527,0
12,500,1.5848931e-05,0.044033039906760864,0
13,500,1.9952624e-05,0.04402628127558921,0
14,500,2.5118865e-05,0.04401771229953815,0
15,500,3.1622778e-05,0.0440069306815454,0
16,500,3.981072e-05,0.04399345366631509,0
17,500,5.0118724e-05,0.04397639620124691,0
18,500,6.309574e-05,0.043954953698131634,0
19,500,7.943282e-05,0.04392791927546393,0
20,500,1e-04,0.04389396537260879,0
21,500,0.00012589255,0.04385124145585687,0
22,500,0.00015848932,0.04379733379893009,0
23,500,0.00019952623,0.04372958733681777,0
24,500,0.00025118864,0.04364434132182412,0
25,500,0.00031622776,0.04353692936103317,0
26,500,0.00039810716,0.04340184039503789,0
27,500,0.0005011872,0.04323183373063151,0
28,500,0.00063095737,0.04301785872191244,0
29,500,0.0007943282,0.04274877337926859,0
30,500,0.001,0.04241029871849592,0
31,500,0.0012589254,0.04198465718550714,0
32,500,0.0015848932,0.04144964808754866,0
33,500,0.0019952622,0.04077724058061849,0
34,500,0.0025118864,0.03993264978311108,0
35,500,0.0031622776,0.03887240752730155,0
36,500,0.0039810715,0.03754243327802208,0
37,500,0.0050118724,0.03587558152184814,0
38,500,0.0063095735,0.03378890512765284,0
39,500,0.007943282,0.031180509541805655,0
40,500,0.01,0.027925706734005414,0
41,500,0.012589254,0.023873092733884153,0
42,500,0.015848933,0.018841233888142465,0
43,500,0.019952623,0.012614518358297045,0
44,500,0.025118865,0.00494133316371054,0
45,500,0.031622775,-0.004466203429878569,0
46,500,0.039810717,-0.015929118237990217,0
47,500,0.050118722,-0.029793034055270944,0
48,500,0.06309573,-0.046413388838655194,0
49,500,0.07943282,-0.06613267768936455,0
50,500,0.1,-0.08925019607085793,0
51,500,0.12589253,-0.11598657020759685,0
52,500,0.15848932,-0.14644696884298533,0
53,500,0.19952624,-0.18059170380093256,0
54,500,0.25118864,-0.21822103437715928,0
55,500,0.31622776,-0.2589810790766617,0
56,500,0.39810717,-0.30239136094789476,0
57,500,0.5011872,-0.3478872353946675,0
58,500,0.63095737,-0.39486522018011666,0
59,500,0.7943282,-0.442717419586844,0
60,500,1.0,-0.49084748687775503,0
61,500,1.2589254,-0.5386682610602115,0
62,500,1.5848932,-0.5855914311703718,0
63,500,1.9952623,-0.6310228897085891,0
64,500,2.5118864,-0.6743742718083354,0
65,500,3.1622777,-0.7150937473010034,0
66,500,3.9810717,-0.7527084888878767,0
67,500,5.0118723,-0.7868666707499952,0
68,500,6.3095737,-0.8173656389758154,0
69,500,7.943282,-0.8441597294365142,0
0,1000,1e-06,0.21073937525215067,0
1,1000,1.2589254e-06,0.2107389110702803,0
2,1000,1.5848932e-06,0.21073821479748825,0
3,1000,1.9952622e-06,0.2107374256884725,0
4,1000,2.5118864e-06,0.21073635807050875,0
5,1000,3.1622776e-06,0.21073515119839084,0
6,1000,3.9810716e-06,0.2107334801449434,0
7,1000,5.0118724e-06,0.21073143774701145,0
8,1000,6.3095736e-06,0.21072893116886698,0
9,1000,7.943282e-06,0.2107256819023821,0
10,1000,1e-05,0.21072155069464768,0
11,1000,1.2589254e-05,0.2107164911301788,0
12,1000,1.5848931e-05,0.21071003903126678,0
